"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"49","ABCD3",-0.700383323667529,5.50146857254674,23.4401787688093,4.19429349411294e-06,"P28288","P28288","reviewed","ABCD3_HUMAN","ATP-binding cassette sub-family D member 3 (EC 3.1.2.-) (EC 7.6.2.-) (70 kDa peroxisomal membrane protein) (PMP70)","ABCD3 PMP70 PXMP1","FUNCTION: Broad substrate specificity ATP-dependent transporter of the ATP-binding cassette (ABC) family that catalyzes the transport of long-chain fatty acids (LCFA)-CoA, dicarboxylic acids-CoA, long-branched-chain fatty acids-CoA and bile acids from the cytosol to the peroxisome lumen for beta-oxydation (PubMed:11248239, PubMed:25168382, PubMed:24333844, PubMed:29397936). Has fatty acyl-CoA thioesterase and ATPase activities (PubMed:29397936). Probably hydrolyzes fatty acyl-CoAs into free fatty acids prior to their ATP-dependent transport into peroxisomes (By similarity). Thus, play a role in regulation of LCFAs and energy metabolism namely, in the degradation and biosynthesis of fatty acids by beta-oxidation (PubMed:25944712, PubMed:24333844). {ECO:0000250|UniProtKB:P33897, ECO:0000269|PubMed:11248239, ECO:0000269|PubMed:24333844, ECO:0000269|PubMed:25168382, ECO:0000269|PubMed:25944712, ECO:0000269|PubMed:29397936}.","ABCD3","cytosol [GO:0005829]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; ABC-type transporter activity [GO:0140359]; acyl-CoA hydrolase activity [GO:0047617]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; long-chain fatty acid transporter activity [GO:0005324]; protein homodimerization activity [GO:0042803]; protein self-association [GO:0043621]; bile acid and bile salt transport [GO:0015721]; bile acid biosynthetic process [GO:0006699]; fatty acid beta-oxidation [GO:0006635]; fatty acid biosynthetic process [GO:0006633]; long-chain fatty acid import into peroxisome [GO:0015910]; peroxisome organization [GO:0007031]; phytanic acid metabolic process [GO:1903512]; response to organic cyclic compound [GO:0014070]; response to xenobiotic stimulus [GO:0009410]; very long-chain fatty acid catabolic process [GO:0042760]; very long-chain fatty acid metabolic process [GO:0000038]","P33897; P40855; P09471; Q6P4D5-2; P53999","SUBCELLULAR LOCATION: Peroxisome membrane {ECO:0000269|PubMed:10704444, ECO:0000269|PubMed:16344115, ECO:0000269|PubMed:17761678, ECO:0000269|PubMed:24333844, ECO:0000269|PubMed:29397936}; Multi-pass membrane protein {ECO:0000255}.","ENST00000315713.5 [P28288-3];ENST00000370214.9 [P28288-1];",0.000206089456208223
"113","ACAT2",-0.927128895837866,6.89620744218107,24.8156216773943,1.23507562739724e-05,"Q9BWD1","Q9BWD1","reviewed","THIC_HUMAN","Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Acetyl-CoA transferase-like protein) (Cytosolic acetoacetyl-CoA thiolase)","ACAT2 ACTL","FUNCTION: Involved in the biosynthetic pathway of cholesterol. {ECO:0000303|PubMed:15733928}.","ACAT2","cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; fatty acid beta-oxidation [GO:0006635]; lipid metabolic process [GO:0006629]","Q8TBB1; P54274; Q9NZC7-5; P36508","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000305|PubMed:7911016}.","ENST00000367048.5 [Q9BWD1-1];",0.000518307703205588
"134","ACOT7",-0.667619161010221,5.11581568486825,18.1005919388848,4.39091920101045e-05,"O00154","O00154","reviewed","BACH_HUMAN","Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)","ACOT7 BACH","FUNCTION: Catalyzes the hydrolysis of acyl-CoAs into free fatty acids and coenzyme A (CoASH), regulating their respective intracellular levels (PubMed:10578051). Preferentially hydrolyzes palmitoyl-CoA, but has a broad specificity acting on other fatty acyl-CoAs with chain-lengths of C8-C18 (PubMed:10578051). May play an important physiological function in brain (PubMed:10578051). {ECO:0000269|PubMed:10578051}.","ACOT7","cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; acyl-CoA hydrolase activity [GO:0047617]; carboxylic ester hydrolase activity [GO:0052689]; fatty-acyl-CoA binding [GO:0000062]; long-chain fatty acyl-CoA binding [GO:0036042]; myristoyl-CoA hydrolase activity [GO:0102991]; palmitoyl-CoA hydrolase activity [GO:0016290]; protein homodimerization activity [GO:0042803]; acyl-CoA metabolic process [GO:0006637]; coenzyme A biosynthetic process [GO:0015937]; fatty acid metabolic process [GO:0006631]; long-chain fatty-acyl-CoA catabolic process [GO:0036116]; medium-chain fatty acid biosynthetic process [GO:0051792]; medium-chain fatty-acyl-CoA catabolic process [GO:0036114]; palmitic acid biosynthetic process [GO:1900535]","Q01484; Q13554; Q9HCK8; Q13618; Q06787; V9HW27; P43360; Q9NVV9; Q9UMX0; Q9UMX0-2; Q8WYK0; O95429; Q13554-3; Q15038; P32321; Q9H0I2; P43357; P43360; Q14863; Q9H0A9-2; Q9NVV9; Q9UMX0; Q9UHD9; Q04323-2; Q7Z4V0","SUBCELLULAR LOCATION: [Isoform 4]: Cytoplasm, cytosol {ECO:0000305|PubMed:12435388}.; SUBCELLULAR LOCATION: [Isoform 6]: Cytoplasm, cytosol {ECO:0000305|PubMed:12435388}.; SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion {ECO:0000269|PubMed:12435388}.; SUBCELLULAR LOCATION: [Isoform 5]: Mitochondrion {ECO:0000269|PubMed:12435388}.","ENST00000361521.9 [O00154-7];ENST00000377842.7 [O00154-6];ENST00000377845.7 [O00154-5];ENST00000377855.6 [O00154-1];ENST00000377860.8 [O00154-3];ENST00000418124.5 [O00154-2];ENST00000545482.5 [O00154-7];ENST00000608083.5 [O00154-4];",0.00143114693158267
"150","ACSL3",-0.491793733618104,8.06324485964859,27.6625249913153,7.0841387745196e-07,"A0A7P0TBL9","A0A7P0TBL9","unreviewed","A0A7P0TBL9_HUMAN","Fatty acid CoA ligase Acsl3","ACSL3","","ACSL3","integral component of membrane [GO:0016021]","","","ENST00000680736.1;ENST00000681292.1;",4.66455952439411e-05
"160","ACTL6A",-0.540182345556567,6.7450560239167,17.5247761778675,5.69826542880335e-05,"O96019","O96019","reviewed","ACL6A_HUMAN","Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K)","ACTL6A BAF53 BAF53A INO80K","FUNCTION: Involved in transcriptional activation and repression of select genes by chromatin remodeling (alteration of DNA-nucleosome topology). Component of SWI/SNF chromatin remodeling complexes that carry out key enzymatic activities, changing chromatin structure by altering DNA-histone contacts within a nucleosome in an ATP-dependent manner. Required for maximal ATPase activity of SMARCA4/BRG1/BAF190A and for association of the SMARCA4/BRG1/BAF190A containing remodeling complex BAF with chromatin/nuclear matrix. Belongs to the neural progenitors-specific chromatin remodeling complex (npBAF complex) and is required for the proliferation of neural progenitors. During neural development a switch from a stem/progenitor to a postmitotic chromatin remodeling mechanism occurs as neurons exit the cell cycle and become committed to their adult state. The transition from proliferating neural stem/progenitor cells to postmitotic neurons requires a switch in subunit composition of the npBAF and nBAF complexes. As neural progenitors exit mitosis and differentiate into neurons, npBAF complexes which contain ACTL6A/BAF53A and PHF10/BAF45A, are exchanged for homologous alternative ACTL6B/BAF53B and DPF1/BAF45B or DPF3/BAF45C subunits in neuron-specific complexes (nBAF). The npBAF complex is essential for the self-renewal/proliferative capacity of the multipotent neural stem cells. The nBAF complex along with CREST plays a role regulating the activity of genes essential for dendrite growth (By similarity). Component of the NuA4 histone acetyltransferase (HAT) complex which is involved in transcriptional activation of select genes principally by acetylation of nucleosomal histones H4 and H2A. This modification may both alter nucleosome - DNA interactions and promote interaction of the modified histones with other proteins which positively regulate transcription. This complex may be required for the activation of transcriptional programs associated with oncogene and proto-oncogene mediated growth induction, tumor suppressor mediated growth arrest and replicative senescence, apoptosis, and DNA repair. NuA4 may also play a direct role in DNA repair when recruited to sites of DNA damage. Putative core component of the chromatin remodeling INO80 complex which is involved in transcriptional regulation, DNA replication and probably DNA repair. {ECO:0000250|UniProtKB:Q9Z2N8, ECO:0000269|PubMed:14966270, ECO:0000269|PubMed:29374058, ECO:0000303|PubMed:15196461, ECO:0000303|PubMed:22952240, ECO:0000303|PubMed:26601204}.","ACTL6A","brahma complex [GO:0035060]; chromatin [GO:0000785]; GBAF complex [GO:0140288]; Ino80 complex [GO:0031011]; kinetochore [GO:0000776]; npBAF complex [GO:0071564]; NuA4 histone acetyltransferase complex [GO:0035267]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; RSC-type complex [GO:0016586]; SWI/SNF complex [GO:0016514]; chromatin binding [GO:0003682]; transcription coactivator activity [GO:0003713]; blastocyst formation [GO:0001825]; chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; histone acetylation [GO:0016573]; histone exchange [GO:0043486]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; negative regulation of cell differentiation [GO:0045596]; nervous system development [GO:0007399]; neural retina development [GO:0003407]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of telomere maintenance in response to DNA damage [GO:1904507]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of chromosome organization [GO:0033044]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of DNA-templated transcription [GO:0006355]; regulation of double-strand break repair [GO:2000779]; regulation of embryonic development [GO:0045995]; regulation of G0 to G1 transition [GO:0070316]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; regulation of nucleotide-excision repair [GO:2000819]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction [GO:0007165]; spinal cord development [GO:0021510]; telomere maintenance [GO:0000723]","P25490","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18026119}.","ENST00000392662.5 [O96019-2];ENST00000429709.7 [O96019-1];ENST00000450518.6 [O96019-2];",0.00174663446278493
"165","ACTR1A",-0.545093938923156,5.18016615310825,14.636489386078,0.000215796266921965,"P61163","P61163","reviewed","ACTZ_HUMAN","Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog)","ACTR1A CTRN1","FUNCTION: Component of a multi-subunit complex involved in microtubule based vesicle motility. It is associated with the centrosome.","ACTR1A","cell cortex region [GO:0099738]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dynactin complex [GO:0005869]; extracellular exosome [GO:0070062]; microtubule associated complex [GO:0005875]; microtubule cytoskeleton [GO:0015630]; ATP binding [GO:0005524]; vesicle-mediated transport [GO:0016192]","","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P85515}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Cytoplasm, cell cortex {ECO:0000269|PubMed:22327364}.","ENST00000369905.9;",0.00510291631913658
"231","ADD3",-0.649046671760945,7.22150527791888,32.5493312033513,9.76140472480476e-08,"Q9UEY8","Q9UEY8","reviewed","ADDG_HUMAN","Gamma-adducin (Adducin-like protein 70)","ADD3 ADDL","FUNCTION: Membrane-cytoskeleton-associated protein that promotes the assembly of the spectrin-actin network. Plays a role in actin filament capping (PubMed:23836506). Binds to calmodulin (Probable). Involved in myogenic reactivity of the renal afferent arteriole (Af-art), renal interlobular arteries and middle cerebral artery (MCA) to increased perfusion pressure. Involved in regulation of potassium channels in the vascular smooth muscle cells (VSMCs) of the Af-art and MCA ex vivo. Involved in regulation of glomerular capillary pressure, glomerular filtration rate (GFR) and glomerular nephrin expression in response to hypertension. Involved in renal blood flow (RBF) autoregulation. Plays a role in podocyte structure and function. Regulates globular monomer actin (G-actin) and filamentous polymer actin (F-actin) ratios in the primary podocytes affecting actin cytoskeleton organization. Regulates expression of synaptopodin, RhoA, Rac1 and CDC42 in the renal cortex and the primary podocytes. Regulates expression of nephrin in the glomeruli and in the primary podocytes, expression of nephrin and podocinin in the renal cortex, and expression of focal adhesion proteins integrin alpha-3 and integrin beta-1 in the glomeruli. Involved in cell migration and cell adhesion of podocytes, and in podocyte foot process effacement. Regulates expression of profibrotics markers MMP2, MMP9, TGF beta-1, tubular tight junction protein E-cadherin, and mesenchymal markers vimentin and alpha-SMA (By similarity). Promotes the growth of neurites (By similarity). {ECO:0000250|UniProtKB:Q62847, ECO:0000250|UniProtKB:Q9QYB5, ECO:0000269|PubMed:23836506, ECO:0000305}.","ADD3","brush border [GO:0005903]; cell cortex [GO:0005938]; cell-cell junction [GO:0005911]; condensed nuclear chromosome [GO:0000794]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; actin filament binding [GO:0051015]; calmodulin binding [GO:0005516]; structural constituent of cytoskeleton [GO:0005200]; barbed-end actin filament capping [GO:0051016]","","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q62847}. Cell membrane {ECO:0000250|UniProtKB:Q62847}; Peripheral membrane protein; Cytoplasmic side. Cytoplasm {ECO:0000250|UniProtKB:Q9QYB5}. Note=Full-length protein and the cleavage fragment 358-706 localize mainly to the cytoplasm, while cleavage fragment 1-357 translocates from the cytoplasm to the nucleus. {ECO:0000250|UniProtKB:Q9QYB5}.","ENST00000277900.12 [Q9UEY8-2];ENST00000356080.9 [Q9UEY8-1];ENST00000360162.7 [Q9UEY8-2];",8.67362353441112e-06
"240","ADGRG1",-0.600072977955339,4.97669912243661,13.2117898868711,0.000426271662845049,"H3BUF5","H3BUF5","unreviewed","H3BUF5_HUMAN","Adhesion G-protein-coupled receptor G1","ADGRG1","","ADGRG1","","","","ENST00000563007.5;ENST00000565539.5;ENST00000568645.5;",0.00870163740980978
"391","ALDH3B1",-0.784392119729145,4.60586955838845,13.9122128831993,0.000303397548898711,"P43353","P43353","reviewed","AL3B1_HUMAN","Aldehyde dehydrogenase family 3 member B1 (EC 1.2.1.28) (EC 1.2.1.5) (EC 1.2.1.7) (Aldehyde dehydrogenase 7)","ALDH3B1 ALDH7","FUNCTION: Oxidizes medium and long chain saturated and unsaturated aldehydes (PubMed:17382292, PubMed:23721920). Metabolizes also benzaldehyde (PubMed:17382292). Low activity towards acetaldehyde and 3,4-dihydroxyphenylacetaldehyde (PubMed:17382292, PubMed:23721920). May not metabolize short chain aldehydes. Can use both NADP(+) and NAD(+) as electron acceptor (PubMed:17382292). May have a protective role against the cytotoxicity induced by lipid peroxidation (PubMed:17382292). {ECO:0000269|PubMed:17382292, ECO:0000269|PubMed:23721920}.","ALDH3B1","cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; specific granule membrane [GO:0035579]; vesicle [GO:0031982]; 3-chloroallyl aldehyde dehydrogenase activity [GO:0004028]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; benzaldehyde dehydrogenase (NAD+) activity [GO:0018479]; benzaldehyde dehydrogenase (NADP+) activity [GO:0018477]; alcohol metabolic process [GO:0006066]; aldehyde catabolic process [GO:0046185]; cellular aldehyde metabolic process [GO:0006081]; cellular response to oxidative stress [GO:0034599]; ethanol catabolic process [GO:0006068]; lipid metabolic process [GO:0006629]; response to oxidative stress [GO:0006979]; sphingolipid biosynthetic process [GO:0030148]","A8MQ03; Q15323; O76011; Q6A162; Q07627; Q8IUG1; P60370; P60409; P60410; P60411; P60328; Q9BYR6; P26371; Q9UJV3-2; Q7Z3S9","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23721920}; Lipid-anchor {ECO:0000269|PubMed:23721920}. Note=Primarily in the plasma membrane as well as in some punctate structures in the cytoplasm.","ENST00000342456.11 [P43353-1];ENST00000614849.4 [P43353-1];ENST00000617288.4 [P43353-2];",0.00671181274464162
"445","AMOT",-1.06538148723877,3.45275094311715,13.7628826970091,0.000327683706872063,"Q4VCS5","Q4VCS5","reviewed","AMOT_HUMAN","Angiomotin","AMOT KIAA1071","FUNCTION: Plays a central role in tight junction maintenance via the complex formed with ARHGAP17, which acts by regulating the uptake of polarity proteins at tight junctions. Appears to regulate endothelial cell migration and tube formation. May also play a role in the assembly of endothelial cell-cell junctions. {ECO:0000269|PubMed:11257124, ECO:0000269|PubMed:16678097}.","AMOT","actin filament [GO:0005884]; bicellular tight junction [GO:0005923]; cell junction [GO:0030054]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; lamellipodium [GO:0030027]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; stress fiber [GO:0001725]; angiostatin binding [GO:0043532]; signaling receptor activity [GO:0038023]; actin cytoskeleton organization [GO:0030036]; angiogenesis [GO:0001525]; blood vessel endothelial cell migration [GO:0043534]; cell migration involved in gastrulation [GO:0042074]; cell-cell junction assembly [GO:0007043]; chemotaxis [GO:0006935]; establishment of cell polarity involved in ameboidal cell migration [GO:0003365]; establishment of epithelial cell polarity [GO:0090162]; gastrulation with mouth forming second [GO:0001702]; hippo signaling [GO:0035329]; in utero embryonic development [GO:0001701]; negative regulation of angiogenesis [GO:0016525]; negative regulation of GTPase activity [GO:0034260]; negative regulation of vascular permeability [GO:0043116]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell size [GO:0045793]; positive regulation of embryonic development [GO:0040019]; positive regulation of stress fiber assembly [GO:0051496]; protein localization [GO:0008104]; regulation of cell migration [GO:0030334]; regulation of small GTPase mediated signal transduction [GO:0051056]; vasculogenesis [GO:0001570]","Q68EM7; Q9Y6K9; P35240; P46662; PRO_0000449633 [P0DTD1]; P35240; Q68EM7; Q8TAB5; P19012; Q15323; P61968; Q96LR2; Q1RN33; Q9NPJ6; P35240; Q96HA8; Q13526; Q15257; Q8WYJ6; O75971; Q13432","SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:16043488}. Note=Localized on the cell surface. May act as a transmembrane protein.","ENST00000304758.5 [Q4VCS5-2];ENST00000371959.9 [Q4VCS5-1];",0.00711230030143181
