"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"1","A1BG",0.655830276985657,3.75088961054286,11.8002126220703,0.000833698605737106,"P04217","P04217","reviewed","A1BG_HUMAN","Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)","A1BG","","A1BG","blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; platelet alpha granule lumen [GO:0031093]; secretory granule lumen [GO:0034774]","","SUBCELLULAR LOCATION: Secreted.","ENST00000263100.8 [P04217-1];",0.00856742508344448
"3","A2M",-3.2504479628363,2.02993787171414,11.8773447046651,0.00080309572007731,"P01023","P01023","reviewed","A2MG_HUMAN","Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)","A2M CPAMD5 FWP007","FUNCTION: Is able to inhibit all four classes of proteinases by a unique 'trapping' mechanism. This protein has a peptide stretch, called the 'bait region' which contains specific cleavage sites for different proteinases. When a proteinase cleaves the bait region, a conformational change is induced in the protein which traps the proteinase. The entrapped enzyme remains active against low molecular weight substrates (activity against high molecular weight substrates is greatly reduced). Following cleavage in the bait region, a thioester bond is hydrolyzed and mediates the covalent binding of the protein to the proteinase.","A2M","blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093]; brain-derived neurotrophic factor binding [GO:0048403]; calcium-dependent protein binding [GO:0048306]; endopeptidase inhibitor activity [GO:0004866]; enzyme binding [GO:0019899]; growth factor binding [GO:0019838]; identical protein binding [GO:0042802]; interleukin-1 binding [GO:0019966]; interleukin-8 binding [GO:0019959]; nerve growth factor binding [GO:0048406]; protease binding [GO:0002020]; serine-type endopeptidase inhibitor activity [GO:0004867]; signaling receptor binding [GO:0005102]; tumor necrosis factor binding [GO:0043120]; acute inflammatory response to antigenic stimulus [GO:0002438]; acute-phase response [GO:0006953]; embryonic liver development [GO:1990402]; luteinization [GO:0001553]; negative regulation of complement activation, lectin pathway [GO:0001869]; response to carbon dioxide [GO:0010037]; response to glucocorticoid [GO:0051384]; response to nutrient [GO:0007584]; response to prostaglandin E [GO:0034695]; stem cell differentiation [GO:0048863]","Q6PCB6; P63010-2; Q9UII2; Q8WUW1; Q92478; Q9UNS2; P04141; P35222; Q7L576; Q9NR90-2; Q9UHI6; Q9H147; O75616; Q9Y261-2; Q6PIV2; Q9ULV1; P0C0S5; P68431; P09017; Q6DN90-2; Q92993; Q92993-2; P60409; Q8IUC2; Q9UPM6; Q8TBB1; P07948; Q8TDB4; A4FUJ8; P41218; Q9Y605; Q96FW1; Q6GQQ9-2; Q99497; O75925; P27986-2; O75626-3; P57729; Q9ULX5; Q96D59; P04271; Q16637-3; Q7Z6I5; Q9UNE7; O75558; Q8N4C7; P43405-2; P28347-2; Q86WT6-2; Q8WVJ9; P10599; Q9BVJ6; Q9UBQ0-2; Q96AX1; Q8N895; Q99KR7","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:6203908}.","ENST00000318602.12;",0.00828777831231233
"11","AAMP",0.537288212177558,7.32154034472186,30.1269994160929,2.58207030072588e-07,"Q13685","Q13685","reviewed","AAMP_HUMAN","Angio-associated migratory cell protein","AAMP","FUNCTION: Plays a role in angiogenesis and cell migration. In smooth muscle cell migration, may act through the RhoA pathway. {ECO:0000269|PubMed:10329261, ECO:0000269|PubMed:18634987}.","AAMP","cell surface [GO:0009986]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]; heparin binding [GO:0008201]; angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; positive regulation of endothelial cell migration [GO:0010595]; smooth muscle cell migration [GO:0014909]","Q8WTP8-2","SUBCELLULAR LOCATION: Cell membrane. Cytoplasm.","ENST00000248450.9;",1.10635086149394e-05
"14","AARS1",0.51582532430136,6.14628317240529,20.4600914885097,1.53281866328783e-05,"A0A6Q8PHP3","A0A6Q8PHP3","unreviewed","A0A6Q8PHP3_HUMAN","Alanine--tRNA ligase (EC 6.1.1.7)","AARS1 AARS","FUNCTION: Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain. {ECO:0000256|HAMAP-Rule:MF_03133}.","AARS1","cytoplasm [GO:0005737]; alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; alanyl-tRNA aminoacylation [GO:0006419]","","","ENST00000675297.1;ENST00000676209.1;ENST00000676247.1;",0.000326533788445063
"16","AARSD1",0.608769892074584,4.8110312003593,13.243763386821,0.000416589318654983,"Q9BTE6","Q9BTE6","reviewed","AASD1_HUMAN","Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1)","AARSD1","FUNCTION: Functions in trans to edit the amino acid moiety from incorrectly charged tRNA(Ala). {ECO:0000250}.","AARSD1","cytoplasm [GO:0005737]; nucleus [GO:0005634]; alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; Ser-tRNA(Ala) hydrolase activity [GO:0002196]; alanyl-tRNA aminoacylation [GO:0006419]; regulation of translational fidelity [GO:0006450]","Q4LE39-3; P63172; Q0VG06-3; P58340; Q5MJ09; Q9H8W5-2; Q96E35; O15231; Q96BE0","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.","ENST00000360221.8 [Q9BTE6-2];ENST00000427569.7 [Q9BTE6-1];",0.00488418508130507
"18","AASDHPPT",-0.45183353995773,6.35623909404505,13.3202459730466,0.000401695215386804,"Q9NRN7","Q9NRN7","reviewed","ADPPT_HUMAN","L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (EC 2.7.8.7) (4'-phosphopantetheinyl transferase) (Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase) (AASD-PPT) (LYS5 ortholog)","AASDHPPT CGI-80 HAH-P HSPC223 x0005","FUNCTION: Catalyzes the post-translational modification of target proteins by phosphopantetheine. Can transfer the 4'-phosphopantetheine moiety from coenzyme A, regardless of whether the CoA is presented in the free thiol form or as an acetyl thioester, to a serine residue of a broad range of acceptors including the acyl carrier domain of FASN. {ECO:0000269|PubMed:11286508, ECO:0000269|PubMed:12815048, ECO:0000269|PubMed:18022563, ECO:0000269|PubMed:19933275, ECO:0000269|PubMed:21238436}.","AASDHPPT","cytosol [GO:0005829]; extracellular exosome [GO:0070062]; holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]; 10-formyltetrahydrofolate catabolic process [GO:0009258]; lysine biosynthetic process via aminoadipic acid [GO:0019878]; pantothenate metabolic process [GO:0015939]; protein maturation [GO:0051604]","O43186; Q5JST6; Q8IUQ4; Q12933; Q9UPT9; Q9UPT9-2","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:12815048}.","ENST00000278618.9 [Q9NRN7-1];ENST00000525660.1 [Q9NRN7-2];",0.00473511249674764
"37","ABCB9",-1.45488494715514,3.05397259122217,19.3275914690457,2.53249586856048e-05,"Q9NP78","Q9NP78","reviewed","ABCB9_HUMAN","ABC-type oligopeptide transporter ABCB9 (EC 7.4.2.6) (ATP-binding cassette sub-family B member 9) (ATP-binding cassette transporter 9) (ABC transporter 9 protein) (hABCB9) (TAP-like protein) (TAPL)","ABCB9 KIAA1520","FUNCTION: ATP-dependent low-affinity peptide transporter which translocates a broad spectrum of peptides from the cytosol to the lysosomal lumen for degradation (PubMed:15863492, PubMed:17977821, PubMed:18434309, PubMed:22641697, PubMed:25646430, PubMed:30877195, PubMed:31417173, PubMed:30353140). Displays a broad peptide length specificity from 6-mer up to at least 59-mer peptides with an optimum of 23-mers (PubMed:15863492, PubMed:25646430). Binds and transports smaller and larger peptides with the same affinity (PubMed:31417173). Favors positively charged, aromatic or hydrophobic residues in the N- and C-terminal positions whereas negatively charged residues as well as asparagine and methionine are not favored (PubMed:15863492, PubMed:17977821, PubMed:18434309). {ECO:0000269|PubMed:15863492, ECO:0000269|PubMed:17977821, ECO:0000269|PubMed:18434309, ECO:0000269|PubMed:22641697, ECO:0000269|PubMed:25646430, ECO:0000269|PubMed:30353140, ECO:0000269|PubMed:30877195, ECO:0000269|PubMed:31417173}.","ABCB9","endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; MHC class I peptide loading complex [GO:0042824]; ABC-type oligopeptide transporter activity [GO:0015421]; ABC-type peptide antigen transporter activity [GO:0015433]; ABC-type peptide transporter activity [GO:0015440]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; protein homodimerization activity [GO:0042803]; TAP1 binding [GO:0046978]; transmembrane transporter activity [GO:0022857]; antigen processing and presentation of endogenous peptide antigen via MHC class I [GO:0019885]; peptide metabolic process [GO:0006518]; peptide transport [GO:0015833]; protein transport [GO:0015031]; transmembrane transport [GO:0055085]","","SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:10748049, ECO:0000269|PubMed:15577206, ECO:0000269|PubMed:17897319, ECO:0000269|PubMed:17977821, ECO:0000269|PubMed:18175933, ECO:0000269|PubMed:18952056, ECO:0000269|PubMed:20377823, ECO:0000269|PubMed:21212514, ECO:0000269|PubMed:22641697, ECO:0000269|PubMed:30877195}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:10748049, ECO:0000269|PubMed:15577206, ECO:0000269|PubMed:17897319, ECO:0000269|PubMed:17977821, ECO:0000269|PubMed:18175933, ECO:0000269|PubMed:18952056, ECO:0000269|PubMed:20377823, ECO:0000269|PubMed:21212514}. Note=May be located in membrane rafts. Takes an intracellular route from the endoplasmic reticulum (ER), via Golgi and early endosomes to late endosomal and lysosomal compartments (PubMed:30877195). {ECO:0000269|PubMed:30877195}.","ENST00000280560.13 [Q9NP78-1];ENST00000344275.11 [Q9NP78-6];ENST00000346530.9 [Q9NP78-2];ENST00000392439.7 [Q9NP78-1];ENST00000442833.6 [Q9NP78-5];ENST00000540285.5 [Q9NP78-7];ENST00000542678.5 [Q9NP78-1];",0.000487455602417016
"53","ABCF2",1.09363348149808,3.79965075333878,21.8227270161856,8.43756532545141e-06,"Q9UG63","Q9UG63","reviewed","ABCF2_HUMAN","ATP-binding cassette sub-family F member 2 (Iron-inhibited ABC transporter 2)","ABCF2 HUSSY-18","","ABCF2","membrane [GO:0016020]; ATP binding [GO:0005524]","","","ENST00000287844.7 [Q9UG63-1];",0.00019976395581662
"69","ABHD17B",-0.735199146949558,4.73974808305446,22.2506271182511,7.00607474744687e-06,"Q5VST6","Q5VST6","reviewed","AB17B_HUMAN","Alpha/beta hydrolase domain-containing protein 17B (Abhydrolase domain-containing protein 17B) (EC 3.1.2.22)","ABHD17B C9orf77 FAM108B1 CGI-67","FUNCTION: Hydrolyzes fatty acids from S-acylated cysteine residues in proteins (PubMed:26701913). Has depalmitoylating activity towards DLG4/PSD95 (PubMed:26701913). Has depalmitoylating activity towards GAP43 (By similarity). Has depalmitoylating activity towards MAP6 (By similarity). Has depalmitoylating activity towards NRAS (PubMed:26701913). {ECO:0000250|UniProtKB:Q7M759, ECO:0000269|PubMed:26701913}.","ABHD17B","anchoring junction [GO:0070161]; dendritic spine [GO:0043197]; endosome membrane [GO:0010008]; membrane [GO:0016020]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; recycling endosome membrane [GO:0055038]; palmitoyl-(protein) hydrolase activity [GO:0008474]; serine-type peptidase activity [GO:0008236]; negative regulation of protein localization to microtubule [GO:1902817]; positive regulation of protein localization to endosome [GO:1905668]; protein depalmitoylation [GO:0002084]; proteolysis [GO:0006508]; regulation of dendritic spine maintenance [GO:1902950]; regulation of postsynapse organization [GO:0099175]; regulation of protein localization to synapse [GO:1902473]","","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q7M759}; Lipid-anchor {ECO:0000250|UniProtKB:Q7M759}; Cytoplasmic side {ECO:0000250|UniProtKB:Q7M759}. Recycling endosome membrane {ECO:0000250|UniProtKB:Q7M759}; Lipid-anchor {ECO:0000250|UniProtKB:Q7M759}; Cytoplasmic side {ECO:0000250|UniProtKB:Q7M759}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q7M759}. Postsynaptic density membrane {ECO:0000250|UniProtKB:Q7M759}.","ENST00000333421.7 [Q5VST6-1];ENST00000377041.6 [Q5VST6-2];",0.000173212133705526
"78","ABI1",-0.441312952368472,5.97141033231674,12.5719150581417,0.000574444041601364,"Q8IZP0","Q8IZP0","reviewed","ABI1_HUMAN","Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)","ABI1 SSH3BP1","FUNCTION: May act in negative regulation of cell growth and transformation by interacting with nonreceptor tyrosine kinases ABL1 and/or ABL2. May play a role in regulation of EGF-induced Erk pathway activation. Involved in cytoskeletal reorganization and EGFR signaling. Together with EPS8 participates in transduction of signals from Ras to Rac. In vitro, a trimeric complex of ABI1, EPS8 and SOS1 exhibits Rac specific guanine nucleotide exchange factor (GEF) activity and ABI1 seems to act as an adapter in the complex. Regulates ABL1/c-Abl-mediated phosphorylation of ENAH. Recruits WASF1 to lamellipodia and there seems to regulate WASF1 protein level. In brain, seems to regulate the dendritic outgrowth and branching as well as to determine the shape and number of synaptic contacts of developing neurons. {ECO:0000269|PubMed:11003655, ECO:0000269|PubMed:18328268}.","ABI1","anchoring junction [GO:0070161]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; filopodium tip [GO:0032433]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; SCAR complex [GO:0031209]; cadherin binding [GO:0045296]; cytoskeletal protein binding [GO:0008092]; protein tyrosine kinase activator activity [GO:0030296]; SH3 domain binding [GO:0017124]; signaling adaptor activity [GO:0035591]; actin polymerization or depolymerization [GO:0008154]; dendrite morphogenesis [GO:0048813]; lamellipodium morphogenesis [GO:0072673]; megakaryocyte development [GO:0035855]; negative regulation of cell population proliferation [GO:0008285]; peptidyl-tyrosine phosphorylation [GO:0018108]; somitogenesis [GO:0001756]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]","P00519; P42684; O00555; Q13191; P14598; Q9Y2A7; P27986; Q92569; P20936; O14512; P02549; P15498; P52735; Q08509; P26450; P22681; P13612; P00520-4; Q9NYB9-2; Q8WYQ4-2; Q2TAC2-2; Q8TD31-3; O60941-5; O15372; Q9H0I2; Q9H5Z6-2; Q6PCT2-2; Q14192; Q03014; P61978-2; Q86YM7; Q9NSC5; Q5T5P2-6; P25800; Q9Y586; O94856-3; Q5HYW2; P54646; Q96T37-3; Q9P2K3-2; Q96GM5; O94875-10; Q15642-2; Q5W5X9-3; Q5ST30; P50552","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Cell projection, lamellipodium {ECO:0000250}. Cell projection, filopodium {ECO:0000250}. Cell projection, growth cone {ECO:0000250}. Postsynaptic density {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Localized to protruding lamellipodia and filopodia tips. Also localized to neuronal growth cones and synaptosomes. May shuttle from the postsynaptic densities to the nucleus (By similarity). {ECO:0000250}.","ENST00000346832.10 [Q8IZP0-12];ENST00000359188.8 [Q8IZP0-6];ENST00000376137.8 [Q8IZP0-7];ENST00000376138.7 [Q8IZP0-3];ENST00000376139.6 [Q8IZP0-5];ENST00000376140.4 [Q8IZP0-9];ENST00000376142.6 [Q8IZP0-1];ENST00000376166.5 [Q8IZP0-2];ENST00000376170.8 [Q8IZP0-4];ENST00000490841.6 [Q8IZP0-11];",0.00634679529805439
