"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"14","AARS1",0.455659555010776,6.14628317240529,16.6838324451064,8.36111292388915e-05,"A0A6Q8PHP3","A0A6Q8PHP3","unreviewed","A0A6Q8PHP3_HUMAN","Alanine--tRNA ligase (EC 6.1.1.7)","AARS1 AARS","FUNCTION: Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain. {ECO:0000256|HAMAP-Rule:MF_03133}.","AARS1","cytoplasm [GO:0005737]; alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; alanyl-tRNA aminoacylation [GO:0006419]","","","ENST00000675297.1;ENST00000676209.1;ENST00000676247.1;",0.00338607284643805
"103","ACADL",1.40759370677826,2.44596569127946,16.8031203597631,7.91686696884466e-05,"P28330","P28330","reviewed","ACADL_HUMAN","Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)","ACADL","FUNCTION: Long-chain specific acyl-CoA dehydrogenase is one of the acyl-CoA dehydrogenases that catalyze the first step of mitochondrial fatty acid beta-oxidation, an aerobic process breaking down fatty acids into acetyl-CoA and allowing the production of energy from fats (By similarity). The first step of fatty acid beta-oxidation consists in the removal of one hydrogen from C-2 and C-3 of the straight-chain fatty acyl-CoA thioester, resulting in the formation of trans-2-enoyl-CoA (By similarity). Among the different mitochondrial acyl-CoA dehydrogenases, long-chain specific acyl-CoA dehydrogenase can act on saturated and unsaturated acyl-CoAs with 6 to 24 carbons with a preference for 8 to 18 carbons long primary chains (PubMed:8823175, PubMed:21237683). {ECO:0000250|UniProtKB:P15650, ECO:0000269|PubMed:21237683, ECO:0000269|PubMed:8823175}.","ACADL","cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; acyl-CoA dehydrogenase activity [GO:0003995]; fatty-acyl-CoA binding [GO:0000062]; flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; long-chain-acyl-CoA dehydrogenase activity [GO:0004466]; palmitoyl-CoA oxidase activity [GO:0016401]; carnitine catabolic process [GO:0042413]; carnitine metabolic process, CoA-linked [GO:0019254]; cellular lipid catabolic process [GO:0044242]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; long-chain fatty acid catabolic process [GO:0042758]; negative regulation of fatty acid biosynthetic process [GO:0045717]; negative regulation of fatty acid oxidation [GO:0046322]; positive regulation of cold-induced thermogenesis [GO:0120162]; regulation of cholesterol metabolic process [GO:0090181]; temperature homeostasis [GO:0001659]","P22735","SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:P15650}.","ENST00000233710.4;",0.00325941579879423
"197","ADAMTS1",1.84141054415581,1.54102067639684,18.8348898131893,3.15624656921851e-05,"Q9UHI8","Q9UHI8","reviewed","ATS1_HUMAN","A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1) (EC 3.4.24.-) (METH-1)","ADAMTS1 KIAA1346 METH1","FUNCTION: Cleaves aggrecan, a cartilage proteoglycan, at the '1938-Glu-|-Leu-1939' site (within the chondroitin sulfate attachment domain), and may be involved in its turnover (By similarity). Has angiogenic inhibitor activity. Active metalloprotease, which may be associated with various inflammatory processes as well as development of cancer cachexia. May play a critical role in follicular rupture. {ECO:0000250, ECO:0000269|PubMed:10438512}.","ADAMTS1","basement membrane [GO:0005604]; cytoplasmic vesicle [GO:0031410]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; heparin binding [GO:0008201]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]; extracellular matrix organization [GO:0030198]; heart trabecula formation [GO:0060347]; integrin-mediated signaling pathway [GO:0007229]; kidney development [GO:0001822]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell population proliferation [GO:0008285]; ovulation from ovarian follicle [GO:0001542]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; proteolysis [GO:0006508]","Q6A162; P60410; O00233","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.","ENST00000284984.8;",0.00153160193319199
"254","ADM",1.35497958745496,2.91794291153524,19.8873754984686,1.97454211413052e-05,"P35318","P35318","reviewed","ADML_HUMAN","Pro-adrenomedullin [Cleaved into: Adrenomedullin (AM); Proadrenomedullin N-20 terminal peptide (ProAM N-terminal 20 peptide) (PAMP) (ProAM-N20)]","ADM AM","FUNCTION: AM and PAMP are potent hypotensive and vasodilatator agents. Numerous actions have been reported most related to the physiologic control of fluid and electrolyte homeostasis. In the kidney, am is diuretic and natriuretic, and both am and pamp inhibit aldosterone secretion by direct adrenal actions. In pituitary gland, both peptides at physiologically relevant doses inhibit basal ACTH secretion. Both peptides appear to act in brain and pituitary gland to facilitate the loss of plasma volume, actions which complement their hypotensive effects in blood vessels.","ADM","cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; adrenomedullin receptor binding [GO:0031700]; hormone activity [GO:0005179]; signaling receptor binding [GO:0005102]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adrenomedullin receptor signaling pathway [GO:1990410]; aging [GO:0007568]; amylin receptor signaling pathway [GO:0097647]; androgen metabolic process [GO:0008209]; animal organ regeneration [GO:0031100]; antibacterial humoral response [GO:0019731]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; branching involved in labyrinthine layer morphogenesis [GO:0060670]; calcium ion homeostasis [GO:0055074]; cAMP-mediated signaling [GO:0019933]; cell population proliferation [GO:0008283]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; developmental growth [GO:0048589]; female pregnancy [GO:0007565]; G protein-coupled receptor internalization [GO:0002031]; heart development [GO:0007507]; hormone secretion [GO:0046879]; inflammatory response [GO:0006954]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of vascular permeability [GO:0043116]; negative regulation of vasoconstriction [GO:0045906]; neural tube closure [GO:0001843]; neuron projection regeneration [GO:0031102]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of angiogenesis [GO:0045766]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of heart rate [GO:0010460]; positive regulation of progesterone biosynthetic process [GO:2000184]; positive regulation of vasculogenesis [GO:2001214]; receptor internalization [GO:0031623]; regulation of systemic arterial blood pressure [GO:0003073]; regulation of the force of heart contraction [GO:0002026]; regulation of urine volume [GO:0035809]; response to cold [GO:0009409]; response to glucocorticoid [GO:0051384]; response to hypoxia [GO:0001666]; response to insulin [GO:0032868]; response to lipopolysaccharide [GO:0032496]; response to starvation [GO:0042594]; response to wounding [GO:0009611]; signal transduction [GO:0007165]; spongiotrophoblast layer development [GO:0060712]; vascular associated smooth muscle cell development [GO:0097084]; vasculogenesis [GO:0001570]","","SUBCELLULAR LOCATION: Secreted.","ENST00000278175.10;ENST00000525063.2;ENST00000528655.5;",0.00103523178509213
"339","AIMP1",0.463286452694036,6.21738385042316,18.2026665753502,4.19333999711302e-05,"Q12904","Q12904","reviewed","AIMP1_HUMAN","Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2 (EMAP-2) (Endothelial monocyte-activating polypeptide II) (EMAP-II) (Small inducible cytokine subfamily E member 1)]","AIMP1 EMAP2 SCYE1","FUNCTION: Non-catalytic component of the multisynthase complex. Stimulates the catalytic activity of cytoplasmic arginyl-tRNA synthase (PubMed:10358004). Binds tRNA. Possesses inflammatory cytokine activity (PubMed:11306575). Negatively regulates TGF-beta signaling through stabilization of SMURF2 by binding to SMURF2 and inhibiting its SMAD7-mediated degradation (By similarity). Involved in glucose homeostasis through induction of glucagon secretion at low glucose levels (By similarity). Promotes dermal fibroblast proliferation and wound repair (PubMed:16472771). Regulates KDELR1-mediated retention of HSP90B1/gp96 in the endoplasmic reticulum (By similarity). Plays a role in angiogenesis by inducing endothelial cell migration at low concentrations and endothelian cell apoptosis at high concentrations (PubMed:12237313). Induces maturation of dendritic cells and monocyte cell adhesion (PubMed:11818442). Modulates endothelial cell responses by degrading HIF-1A through interaction with PSMA7 (PubMed:19362550). {ECO:0000250|UniProtKB:P31230, ECO:0000269|PubMed:10358004, ECO:0000269|PubMed:11157763, ECO:0000269|PubMed:11306575, ECO:0000269|PubMed:11818442, ECO:0000269|PubMed:12237313, ECO:0000269|PubMed:19362550}.","AIMP1","aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cell surface [GO:0009986]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; cytokine activity [GO:0005125]; GTPase binding [GO:0051020]; protein homodimerization activity [GO:0042803]; tRNA binding [GO:0000049]; angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell-cell signaling [GO:0007267]; inflammatory response [GO:0006954]; leukocyte migration [GO:0050900]; negative regulation of endothelial cell proliferation [GO:0001937]; positive regulation of glucagon secretion [GO:0070094]; translation [GO:0006412]","Q13155; Q99598; PRO_0000038593 [P04591]; Q13155; Q86YM7; Q96CV9; P54136","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14500886}. Cytoplasm, cytosol {ECO:0000269|PubMed:19289464}. Secreted {ECO:0000269|PubMed:10850427}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P31230}. Golgi apparatus {ECO:0000250|UniProtKB:P31230}. Note=Enriched in secretory vesicles of pancreatic alpha cells and secreted from the pancreas in response to low glucose levels (By similarity). Secreted in response to hypoxia (PubMed:10850427). Also secreted in response to both apoptotic and necrotic cell death. {ECO:0000250|UniProtKB:P31230, ECO:0000269|PubMed:10850427}.","ENST00000358008.7 [Q12904-1];ENST00000671868.1 [Q12904-1];ENST00000671960.1 [Q12904-1];ENST00000672285.1 [Q12904-1];ENST00000672328.1 [Q12904-1];ENST00000672337.1 [Q12904-1];ENST00000672341.1 [Q12904-1];ENST00000672911.1 [Q12904-1];ENST00000673018.1 [Q12904-1];ENST00000673123.1 [Q12904-1];",0.001924998990224
"342","AJUBA",0.552491477738796,6.30911226400433,18.4275138744019,6.27460330685305e-05,"G3V481","G3V481","unreviewed","G3V481_HUMAN","LIM domain-containing protein ajuba","AJUBA","","AJUBA","metal ion binding [GO:0046872]","","","ENST00000553592.5;ENST00000556731.5;",0.00269683829162238
"346","AK4",0.449350600184477,7.0996857690772,23.2880225256596,4.47740361572423e-06,"P27144","P27144","reviewed","KAD4_HUMAN","Adenylate kinase 4, mitochondrial (AK 4) (EC 2.7.4.10) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)","AK4 AK3 AK3L1","FUNCTION: Involved in maintaining the homeostasis of cellular nucleotides by catalyzing the interconversion of nucleoside phosphates (PubMed:19073142, PubMed:19766732, PubMed:23416111, PubMed:24767988). Efficiently phosphorylates AMP and dAMP using ATP as phosphate donor, but phosphorylates only AMP when using GTP as phosphate donor (PubMed:19073142, PubMed:19766732, PubMed:23416111). Also displays broad nucleoside diphosphate kinase activity (PubMed:19073142, PubMed:19766732, PubMed:23416111). Plays a role in controlling cellular ATP levels by regulating phosphorylation and activation of the energy sensor protein kinase AMPK (PubMed:24767988, PubMed:26980435). Plays a protective role in the cellular response to oxidative stress (PubMed:19130895, PubMed:23474458, PubMed:26980435). {ECO:0000255|HAMAP-Rule:MF_03170, ECO:0000269|PubMed:19073142, ECO:0000269|PubMed:19130895, ECO:0000269|PubMed:19766732, ECO:0000269|PubMed:23416111, ECO:0000269|PubMed:23474458, ECO:0000269|PubMed:24767988, ECO:0000269|PubMed:26980435}.","AK4","cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; nucleoside diphosphate kinase activity [GO:0004550]; nucleoside monophosphate kinase activity [GO:0050145]; nucleoside triphosphate adenylate kinase activity [GO:0046899]; ADP biosynthetic process [GO:0006172]; AMP metabolic process [GO:0046033]; ATP metabolic process [GO:0046034]; cellular response to hypoxia [GO:0071456]; GTP metabolic process [GO:0046039]; nucleobase-containing small molecule interconversion [GO:0015949]; nucleoside diphosphate phosphorylation [GO:0006165]; nucleoside triphosphate biosynthetic process [GO:0009142]; regulation of ATP biosynthetic process [GO:2001169]; regulation of oxidative phosphorylation [GO:0002082]","","SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03170, ECO:0000269|PubMed:11485571, ECO:0000269|PubMed:19766732, ECO:0000269|PubMed:26980435}.","ENST00000327299.8;ENST00000395334.6;ENST00000545314.5;",0.000275346242481456
"388","ALDH1L2",1.69036719332466,2.58970265940857,35.5129400089275,3.04330141006164e-08,"Q3SY69","Q3SY69","reviewed","AL1L2_HUMAN","Mitochondrial 10-formyltetrahydrofolate dehydrogenase (Mitochondrial 10-FTHFDH) (mtFDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L2)","ALDH1L2","FUNCTION: Mitochondrial 10-formyltetrahydrofolate dehydrogenase that catalyzes the NADP(+)-dependent conversion of 10-formyltetrahydrofolate to tetrahydrofolate and carbon dioxide. {ECO:0000269|PubMed:21238436}.","ALDH1L2","extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; formyltetrahydrofolate dehydrogenase activity [GO:0016155]; hydroxymethyl-, formyl- and related transferase activity [GO:0016742]; 10-formyltetrahydrofolate catabolic process [GO:0009258]; biosynthetic process [GO:0009058]; fatty acid beta-oxidation [GO:0006635]; folic acid metabolic process [GO:0046655]; NADPH regeneration [GO:0006740]; one-carbon metabolic process [GO:0006730]","P42858","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:20498374}.","ENST00000258494.14 [Q3SY69-1];ENST00000552270.1 [Q3SY69-2];",4.16187429196962e-06
"389","ALDH2",0.971411549559222,5.91828535472326,57.890560083407,9.67167426063718e-12,"A0A384NPN7","A0A384NPN7","unreviewed","A0A384NPN7_HUMAN","Aldehyde dehydrogenase 2 family (Mitochondrial), isoform CRA_c (Epididymis secretory sperm binding protein)","ALDH2 hCG_2039620","","ALDH2","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; regulation of dopamine biosynthetic process [GO:1903179]; regulation of serotonin biosynthetic process [GO:1905627]","","","",3.43889566983674e-09
"428","ALPK2",0.884159698926004,4.40838310190828,19.797402102762,2.05493788730824e-05,"Q86TB3","Q86TB3","reviewed","ALPK2_HUMAN","Alpha-protein kinase 2 (EC 2.7.11.1) (Heart alpha-protein kinase)","ALPK2 HAK","FUNCTION: Protein kinase that recognizes phosphorylation sites in which the surrounding peptides have an alpha-helical conformation (PubMed:10021370). Regulates cardiac development and cardiomyocyte differentiation by negatively regulating Wnt/beta-catenin signaling (PubMed:29888752). {ECO:0000269|PubMed:29888752, ECO:0000303|PubMed:10021370}.","ALPK2","basolateral plasma membrane [GO:0016323]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; cardiac muscle cell development [GO:0055013]; epicardium morphogenesis [GO:1905223]; establishment of cell polarity [GO:0030010]; heart morphogenesis [GO:0003007]; negative regulation of Wnt signaling pathway involved in heart development [GO:0003308]; protein phosphorylation [GO:0006468]; regulation of apoptotic process [GO:0042981]; regulation of gene expression [GO:0010468]","","SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:28668886}.","ENST00000361673.4;",0.00106001953816031
