"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"835","ASNS",-0.922968110385934,7.10443843434948,35.8136111660528,4.06397959507443e-08,"P08243","P08243","reviewed","ASNS_HUMAN","Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)","ASNS TS11","","ASNS","cytosol [GO:0005829]; asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]; asparagine biosynthetic process [GO:0006529]; cellular response to glucose starvation [GO:0042149]; glutamine metabolic process [GO:0006541]; L-asparagine biosynthetic process [GO:0070981]; negative regulation of apoptotic process [GO:0043066]; positive regulation of mitotic cell cycle [GO:0045931]","Q86WT6; Q86WT6-2; A2RRH5","","ENST00000175506.8 [P08243-1];ENST00000394308.8 [P08243-1];ENST00000394309.7 [P08243-1];ENST00000422745.5 [P08243-2];ENST00000437628.5 [P08243-3];ENST00000444334.5 [P08243-2];ENST00000455086.5 [P08243-3];",8.87313313716154e-05
"906","ATP1B1",0.660992577204919,7.70348325614711,24.9552013176864,2.19927630775203e-06,"P05026","P05026","reviewed","AT1B1_HUMAN","Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)","ATP1B1 ATP1B","FUNCTION: This is the non-catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane. The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane (PubMed:19694409). Plays a role in innate immunity by enhancing virus-triggered induction of interferons (IFNs) and interferon stimulated genes (ISGs). Mechanistically, enhances the ubiquitination of TRAF3 and TRAF6 as well as the phosphorylation of TAK1 and TBK1 (PubMed:34011520). {ECO:0000269|PubMed:19694409, ECO:0000269|PubMed:34011520}.; FUNCTION: Involved in cell adhesion and establishing epithelial cell polarity. {ECO:0000269|PubMed:19694409}.","ATP1B1","apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; caveola [GO:0005901]; extracellular exosome [GO:0070062]; extracellular vesicle [GO:1903561]; intercalated disc [GO:0014704]; lateral plasma membrane [GO:0016328]; membrane [GO:0016020]; organelle membrane [GO:0031090]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; sodium:potassium-exchanging ATPase complex [GO:0005890]; sperm flagellum [GO:0036126]; T-tubule [GO:0030315]; ATPase activator activity [GO:0001671]; ATPase binding [GO:0051117]; MHC class II protein complex binding [GO:0023026]; P-type sodium:potassium-exchanging transporter activity [GO:0005391]; protein C-terminus binding [GO:0008022]; protein heterodimerization activity [GO:0046982]; protein kinase binding [GO:0019901]; protein-macromolecule adaptor activity [GO:0030674]; ATP metabolic process [GO:0046034]; cardiac muscle contraction [GO:0060048]; cation transmembrane transport [GO:0098655]; cell adhesion [GO:0007155]; cell communication by electrical coupling involved in cardiac conduction [GO:0086064]; cellular calcium ion homeostasis [GO:0006874]; cellular potassium ion homeostasis [GO:0030007]; cellular sodium ion homeostasis [GO:0006883]; establishment or maintenance of transmembrane electrochemical gradient [GO:0010248]; innate immune response [GO:0045087]; membrane repolarization [GO:0086009]; membrane repolarization during cardiac muscle cell action potential [GO:0086013]; positive regulation of ATP-dependent activity [GO:0032781]; positive regulation of calcium:sodium antiporter activity [GO:1903281]; positive regulation of P-type sodium:potassium-exchanging transporter activity [GO:1903408]; positive regulation of potassium ion import across plasma membrane [GO:1903288]; positive regulation of potassium ion transmembrane transporter activity [GO:1901018]; positive regulation of sodium ion export across plasma membrane [GO:1903278]; potassium ion import across plasma membrane [GO:1990573]; protein localization to plasma membrane [GO:0072659]; protein stabilization [GO:0050821]; protein transport into plasma membrane raft [GO:0044861]; proton transmembrane transport [GO:1902600]; regulation of cardiac muscle contraction by calcium ion signaling [GO:0010882]; regulation of gene expression [GO:0010468]; relaxation of cardiac muscle [GO:0055119]; response to hypoxia [GO:0001666]; sodium ion export across plasma membrane [GO:0036376]; sodium ion transmembrane transport [GO:0035725]","P30556; P05067; P05023; Q8IZU9; P02730; PRO_0000033087 [P61278]; O76024","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:34011520}; Single-pass type II membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000250|UniProtKB:P07340}; Single-pass type II membrane protein {ECO:0000255}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P14094}. Note=Colocalizes with OBSCN at the intercalated disk and sarcolemma in cardiomyocytes. Localizes in long striations at the level of Z and M lines. {ECO:0000250|UniProtKB:P14094}.","ENST00000367815.9 [P05026-1];ENST00000367816.5 [P05026-1];ENST00000689522.1 [P05026-1];ENST00000690184.1 [P05026-1];",0.00186995858584342
"1202","BNIP3",0.890556893267657,5.62210493437852,22.6074262379068,6.00330249205015e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00451540705902049
"1752","CCN2",-1.15555910498517,7.41406964817851,41.9535895475767,2.335823488089e-08,"P29279","P29279","reviewed","CCN2_HUMAN","CCN family member 2 (Cellular communication network factor 2) (Connective tissue growth factor) (Hypertrophic chondrocyte-specific protein 24) (Insulin-like growth factor-binding protein 8) (IBP-8) (IGF-binding protein 8) (IGFBP-8)","CCN2 CTGF HCS24 IGFBP8","FUNCTION: Major connective tissue mitoattractant secreted by vascular endothelial cells. Promotes proliferation and differentiation of chondrocytes. Mediates heparin- and divalent cation-dependent cell adhesion in many cell types including fibroblasts, myofibroblasts, endothelial and epithelial cells. Enhances fibroblast growth factor-induced DNA synthesis. {ECO:0000269|PubMed:10614647, ECO:0000269|PubMed:12553878}.","CCN2","cell cortex [GO:0005938]; cis-Golgi network [GO:0005801]; cytosol [GO:0005829]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; fibronectin binding [GO:0001968]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; insulin-like growth factor binding [GO:0005520]; integrin binding [GO:0005178]; protein C-terminus binding [GO:0008022]; aging [GO:0007568]; angiogenesis [GO:0001525]; calcium ion transmembrane import into cytosol [GO:0097553]; cartilage condensation [GO:0001502]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; cell-matrix adhesion [GO:0007160]; chondrocyte differentiation [GO:0002062]; chondrocyte proliferation [GO:0035988]; DNA biosynthetic process [GO:0071897]; epidermis development [GO:0008544]; extracellular matrix constituent secretion [GO:0070278]; fibroblast growth factor receptor signaling pathway [GO:0008543]; integrin-mediated signaling pathway [GO:0007229]; intracellular signal transduction [GO:0035556]; lung development [GO:0030324]; negative regulation of cell death [GO:0060548]; negative regulation of gene expression [GO:0010629]; ossification [GO:0001503]; positive regulation of cardiac muscle contraction [GO:0060452]; positive regulation of cell activation [GO:0050867]; positive regulation of cell death [GO:0010942]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of G0 to G1 transition [GO:0070318]; positive regulation of gene expression [GO:0010628]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of stress fiber assembly [GO:0051496]; reactive oxygen species metabolic process [GO:0072593]; regulation of chondrocyte differentiation [GO:0032330]; response to amino acid [GO:0043200]; response to anoxia [GO:0034059]; response to estradiol [GO:0032355]; response to fatty acid [GO:0070542]; response to glucose [GO:0009749]; response to mineralocorticoid [GO:0051385]; response to peptide hormone [GO:0043434]; response to wounding [GO:0009611]; signal transduction [GO:0007165]; tissue homeostasis [GO:0001894]","P03372; Q92731; P02751","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:P29268}. Secreted {ECO:0000250|UniProtKB:P29268}.","ENST00000367976.4 [P29279-1];",6.52562344758122e-05
"3523","EMP1",-0.749851704320816,7.57603473614862,26.4875406240817,1.16076717351391e-06,"P54849","P54849","reviewed","EMP1_HUMAN","Epithelial membrane protein 1 (EMP-1) (CL-20) (Protein B4B) (Tumor-associated membrane protein)","EMP1 B4B TMP","","EMP1","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; bleb assembly [GO:0032060]; cell death [GO:0008219]; epidermis development [GO:0008544]","P16157-17; Q68DC2; Q9BQE5; Q13520; Q3SXY8; Q15041; P07307-3; Q99437; O15342; Q8WVV5; P51681; P11049; P09693; P19397; P11912; Q8NHQ1; O95484; Q9Y5Q5; P25025; Q15125; Q92838; Q08426; Q9Y282; O15552; Q96F15; O15529; Q9NZD1; P28335; Q6UXK2; Q9HDC5; P26715; Q86VI4; O95214; Q8TAF8; P43657; Q96PB8; Q8N112; P21145; Q13021; Q9GZW8; P35372-10; Q96CS7; Q01453; Q9UI14; Q9NS64; A2A2V5; Q9BZL3; Q9HBV2; P27105; Q8N205; Q0VAB0; Q9Y6I9; Q96MV1; B3SHH9; Q9NX00; A2RU14; Q8WW34-2; E9PQX1; Q9P0T7; Q5TGU0","SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.","ENST00000256951.10 [P54849-1];ENST00000396301.7 [P54849-2];",0.00126110904695767
"9541","FAM111B",0.715919001113729,7.80012972468898,26.0481404710569,1.38771191748201e-06,"Q6SJ93","Q6SJ93","reviewed","F111B_HUMAN","Serine protease FAM111B (EC 3.4.21.-) (Cancer-associated nucleoprotein)","FAM111B CANP","FUNCTION: Serine protease. {ECO:0000250|UniProtKB:Q96PZ2}.","FAM111B","chromatin [GO:0000785]; nucleus [GO:0005634]; peptidase activity [GO:0008233]; DNA replication [GO:0006260]; proteolysis [GO:0006508]","P50570-2; P28799; P42858; Q01105; Q01105-2; O76024","","ENST00000343597.4 [Q6SJ93-1];ENST00000411426.1 [Q6SJ93-2];ENST00000529618.5 [Q6SJ93-2];ENST00000620384.1 [Q6SJ93-1];",0.00142832075043569
"10343","GOPC",0.677498447443787,6.85369368912623,22.8350460941463,5.44135733353606e-06,"Q9HD26","Q9HD26","reviewed","GOPC_HUMAN","Golgi-associated PDZ and coiled-coil motif-containing protein (CFTR-associated ligand) (Fused in glioblastoma) (PDZ protein interacting specifically with TC10) (PIST)","GOPC CAL FIG","FUNCTION: Plays a role in intracellular protein trafficking and degradation (PubMed:11707463, PubMed:14570915, PubMed:15358775). May regulate CFTR chloride currents and acid-induced ASIC3 currents by modulating cell surface expression of both channels (By similarity). May also regulate the intracellular trafficking of the ADR1B receptor (PubMed:15358775). May play a role in autophagy (By similarity). Together with MARCHF2 mediates the ubiquitination and lysosomal degradation of CFTR (PubMed:23818989). Overexpression results in CFTR intracellular retention and lysosomaldegradation in the lysosomes (PubMed:11707463, PubMed:14570915). {ECO:0000250|UniProtKB:Q8BH60, ECO:0000269|PubMed:11707463, ECO:0000269|PubMed:14570915, ECO:0000269|PubMed:15358775, ECO:0000269|PubMed:23818989}.","GOPC","anchoring junction [GO:0070161]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi-associated vesicle membrane [GO:0030660]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]; trans-Golgi network transport vesicle [GO:0030140]; identical protein binding [GO:0042802]; transmembrane transporter binding [GO:0044325]; apical protein localization [GO:0045176]; cytoplasmic sequestering of CFTR protein [GO:0043004]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi to plasma membrane transport [GO:0006893]; negative regulation of anion channel activity [GO:0010360]; negative regulation of protein localization to cell surface [GO:2000009]; protein transport [GO:0015031]","Q9H9L7; Q16520; Q0P5P2; Q68D86; P13569; Q12882; Q86YD7; P15408; P08631; V9HWD0; P05412; Q6UWP7; Q8WVZ3; Q9BYD6; Q15746; Q8IZQ8; Q99497; Q7Z2X4; Q2TAK8-2; Q96D59; Q9BWG1; Q9NTN9; Q9H1K4; Q7LBE3-1; Q6RVD6; O43805; Q14849; P04004; Q6ZSB9; Q32MK9; Q8TBZ8; Q9P0T4; Q96SQ5; Q8NBB4; Q9R0W0; Q7Z3C6-3; Q68D86; E9PSE9; Q8IZU0; P55040; P08631-2; Q15746-7; Q969R2-2; Q6NYC8; Q86X10; Q96D59; Q8N9S9-2; P04004; Q6ZSB9; Q8WTX9; Q9Y2P0","SUBCELLULAR LOCATION: Cytoplasm. Golgi apparatus membrane {ECO:0000269|PubMed:23818989}; Peripheral membrane protein. Golgi apparatus, trans-Golgi network membrane; Peripheral membrane protein. Synapse {ECO:0000250}. Postsynaptic density {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Note=Enriched in synaptosomal and postsynaptic densities (PSD) fractions. Expressed in cell bodies and dendrites of Purkinje cells. Localized at the trans-Golgi network (TGN) of spermatids and the medulla of round spermatides. {ECO:0000250}.","ENST00000052569.10 [Q9HD26-2];ENST00000368498.7 [Q9HD26-1];",0.00425644736058525
"10763","HMGA2",-0.878682916400368,6.31466513260378,24.3387453751416,2.85702394278664e-06,"P52926","P52926","reviewed","HMGA2_HUMAN","High mobility group protein HMGI-C (High mobility group AT-hook protein 2)","HMGA2 HMGIC","FUNCTION: Functions as a transcriptional regulator. Functions in cell cycle regulation through CCNA2. Plays an important role in chromosome condensation during the meiotic G2/M transition of spermatocytes. Plays a role in postnatal myogenesis, is involved in satellite cell activation (By similarity). Positively regulates IGF2 expression through PLAG1 and in a PLAG1-independent manner (PubMed:28796236). {ECO:0000250|UniProtKB:P52927, ECO:0000269|PubMed:14645522, ECO:0000269|PubMed:28796236}.","HMGA2","nuclear chromosome [GO:0000228]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-DNA complex [GO:0032993]; senescence-associated heterochromatin focus [GO:0035985]; SMAD protein complex [GO:0071141]; 5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; C2H2 zinc finger domain binding [GO:0070742]; cAMP response element binding [GO:0035497]; DNA binding, bending [GO:0008301]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; MH1 domain binding [GO:0035501]; MH2 domain binding [GO:0035500]; minor groove of adenine-thymine-rich DNA binding [GO:0003680]; nucleic acid binding [GO:0003676]; nucleosomal DNA binding [GO:0031492]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; SMAD binding [GO:0046332]; transcription cis-regulatory region binding [GO:0000976]; transcription coregulator activity [GO:0003712]; transcription corepressor activity [GO:0003714]; base-excision repair [GO:0006284]; cell cycle [GO:0007049]; cell division [GO:0051301]; chondrocyte differentiation [GO:0002062]; chondrocyte proliferation [GO:0035988]; chromatin organization [GO:0006325]; chromosome condensation [GO:0030261]; endodermal cell differentiation [GO:0035987]; epithelial to mesenchymal transition [GO:0001837]; fat cell differentiation [GO:0045444]; heterochromatin assembly [GO:0031507]; intracellular signal transduction [GO:0035556]; mesenchymal cell differentiation [GO:0048762]; mesodermal cell differentiation [GO:0048333]; mesodermal-endodermal cell signaling [GO:0003131]; negative regulation by host of viral transcription [GO:0043922]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cellular senescence [GO:2000773]; negative regulation of DNA binding [GO:0043392]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033]; negative regulation of single stranded viral RNA replication via double stranded DNA intermediate [GO:0045869]; negative regulation of transcription by RNA polymerase II [GO:0000122]; oncogene-induced cell senescence [GO:0090402]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell proliferation in bone marrow [GO:0071864]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell cycle process [GO:0010564]; regulation of DNA-templated transcription [GO:0006355]; regulation of stem cell population maintenance [GO:2000036]; response to virus [GO:0009615]; stem cell differentiation [GO:0048863]","Q96LA8; Q01196","SUBCELLULAR LOCATION: Nucleus.","ENST00000354636.7 [P52926-2];ENST00000393578.7 [P52926-6];ENST00000403681.7 [P52926-1];ENST00000425208.6 [P52926-4];ENST00000537275.5 [P52926-5];ENST00000537429.5 [P52926-3];",0.00232799834271398
"11276","IVNS1ABP",-0.793166218771713,7.23232362696849,28.6790355950393,4.66042526888413e-07,"Q9Y6Y0","Q9Y6Y0","reviewed","NS1BP_HUMAN","Influenza virus NS1A-binding protein (NS1-BP) (NS1-binding protein) (Aryl hydrocarbon receptor-associated protein 3) (Kelch-like protein 39)","IVNS1ABP ARA3 FLARA3 KIAA0850 KLHL39 NS1 NS1BP HSPC068","FUNCTION: Involved in many cell functions, including pre-mRNA splicing, the aryl hydrocarbon receptor (AHR) pathway, F-actin organization and protein ubiquitination. Plays a role in the dynamic organization of the actin skeleton as a stabilizer of actin filaments by association with F-actin through Kelch repeats (By similarity). Protects cells from cell death induced by actin destabilization (By similarity). Functions as modifier of the AHR/Aryl hydrocarbon receptor pathway increasing the concentration of AHR available to activate transcription (PubMed:16582008). In addition, functions as a negative regulator of BCR(KLHL20) E3 ubiquitin ligase complex to prevent ubiquitin-mediated proteolysis of PML and DAPK1, two tumor suppressors (PubMed:25619834). Inhibits pre-mRNA splicing (in vitro) (PubMed:9696811). {ECO:0000250|UniProtKB:Q920Q8, ECO:0000269|PubMed:16582008, ECO:0000269|PubMed:25619834, ECO:0000269|PubMed:9696811}.; FUNCTION: (Microbial infection) Involved in the alternative splicing of influenza A virus M1 mRNA through interaction with HNRNPK, thereby facilitating the generation of viral M2 protein. {ECO:0000269|PubMed:23825951, ECO:0000269|PubMed:9696811}.","IVNS1ABP","cytoskeleton [GO:0005856]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; transcription regulator complex [GO:0005667]; intrinsic apoptotic signaling pathway [GO:0097193]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of protein ubiquitination [GO:0031397]; response to virus [GO:0009615]; RNA splicing [GO:0008380]; transcription by RNA polymerase III [GO:0006383]","","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9696811}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9696811}. Nucleus, nucleoplasm {ECO:0000269|PubMed:9696811}. Note=Associated with actin filaments (By similarity). Localization related to speckle domains which correspond to interchromatin granules and are enriched in factors involved in pre-mRNA splicing (PubMed:9696811). Following influenza A virus infection, redistribution from speckles to a more diffuse distribution in the nucleoplasm (PubMed:9696811). {ECO:0000250|UniProtKB:Q920Q8, ECO:0000269|PubMed:9696811}.","ENST00000367498.8;",0.00060759517705532
"11731","LDHA",0.638905641413789,9.81049508139961,26.8083191717164,1.00995637556654e-06,"F5H6W8","F5H6W8","unreviewed","F5H6W8_HUMAN","L-lactate dehydrogenase A chain","LDHA","","LDHA","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; carboxylic acid metabolic process [GO:0019752]","","","ENST00000539814.5;",0.00116180628709289
