"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"346","AK4",0.533455324366843,7.0996857690772,33.1627783878136,7.65232112070784e-08,"P27144","P27144","reviewed","KAD4_HUMAN","Adenylate kinase 4, mitochondrial (AK 4) (EC 2.7.4.10) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)","AK4 AK3 AK3L1","FUNCTION: Involved in maintaining the homeostasis of cellular nucleotides by catalyzing the interconversion of nucleoside phosphates (PubMed:19073142, PubMed:19766732, PubMed:23416111, PubMed:24767988). Efficiently phosphorylates AMP and dAMP using ATP as phosphate donor, but phosphorylates only AMP when using GTP as phosphate donor (PubMed:19073142, PubMed:19766732, PubMed:23416111). Also displays broad nucleoside diphosphate kinase activity (PubMed:19073142, PubMed:19766732, PubMed:23416111). Plays a role in controlling cellular ATP levels by regulating phosphorylation and activation of the energy sensor protein kinase AMPK (PubMed:24767988, PubMed:26980435). Plays a protective role in the cellular response to oxidative stress (PubMed:19130895, PubMed:23474458, PubMed:26980435). {ECO:0000255|HAMAP-Rule:MF_03170, ECO:0000269|PubMed:19073142, ECO:0000269|PubMed:19130895, ECO:0000269|PubMed:19766732, ECO:0000269|PubMed:23416111, ECO:0000269|PubMed:23474458, ECO:0000269|PubMed:24767988, ECO:0000269|PubMed:26980435}.","AK4","cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; nucleoside diphosphate kinase activity [GO:0004550]; nucleoside monophosphate kinase activity [GO:0050145]; nucleoside triphosphate adenylate kinase activity [GO:0046899]; ADP biosynthetic process [GO:0006172]; AMP metabolic process [GO:0046033]; ATP metabolic process [GO:0046034]; cellular response to hypoxia [GO:0071456]; GTP metabolic process [GO:0046039]; nucleobase-containing small molecule interconversion [GO:0015949]; nucleoside diphosphate phosphorylation [GO:0006165]; nucleoside triphosphate biosynthetic process [GO:0009142]; regulation of ATP biosynthetic process [GO:2001169]; regulation of oxidative phosphorylation [GO:0002082]","","SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03170, ECO:0000269|PubMed:11485571, ECO:0000269|PubMed:19766732, ECO:0000269|PubMed:26980435}.","ENST00000327299.8;ENST00000395334.6;ENST00000545314.5;",4.53481187383523e-05
"470","ANK2",0.947816484768424,3.69079269201853,20.7437495154605,1.35283190548581e-05,"Q01484","Q01484","reviewed","ANK2_HUMAN","Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin)","ANK2 ANKB","FUNCTION: Plays an essential role in the localization and membrane stabilization of ion transporters and ion channels in several cell types, including cardiomyocytes, as well as in striated muscle cells. In skeletal muscle, required for proper localization of DMD and DCTN4 and for the formation and/or stability of a special subset of microtubules associated with costameres and neuromuscular junctions. In cardiomyocytes, required for coordinate assembly of Na/Ca exchanger, SLC8A1/NCX1, Na/K ATPases ATP1A1 and ATP1A2 and inositol 1,4,5-trisphosphate (InsP3) receptors at sarcoplasmic reticulum/sarcolemma sites. Required for expression and targeting of SPTBN1 in neonatal cardiomyocytes and for the regulation of neonatal cardiomyocyte contraction rate (PubMed:12571597). In the inner segment of rod photoreceptors, required for the coordinated expression of the Na/K ATPase, Na/Ca exchanger and beta-2-spectrin (SPTBN1) (By similarity). Plays a role in endocytosis and intracellular protein transport. Associates with phosphatidylinositol 3-phosphate (PI3P)-positive organelles and binds dynactin to promote long-range motility of cells. Recruits RABGAP1L to (PI3P)-positive early endosomes, where RABGAP1L inactivates RAB22A, and promotes polarized trafficking to the leading edge of the migrating cells. Part of the ANK2/RABGAP1L complex which is required for the polarized recycling of fibronectin receptor ITGA5 ITGB1 to the plasma membrane that enables continuous directional cell migration (By similarity). {ECO:0000250|UniProtKB:Q8C8R3, ECO:0000269|PubMed:12571597}.","ANK2","A band [GO:0031672]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; costamere [GO:0043034]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; early endosome [GO:0005769]; intercalated disc [GO:0014704]; lysosome [GO:0005764]; M band [GO:0031430]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; recycling endosome [GO:0055037]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]; Z disc [GO:0030018]; ATPase binding [GO:0051117]; cytoskeletal anchor activity [GO:0008093]; enzyme binding [GO:0019899]; phosphorylation-dependent protein binding [GO:0140031]; protein kinase binding [GO:0019901]; protein-macromolecule adaptor activity [GO:0030674]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; transmembrane transporter binding [GO:0044325]; atrial cardiac muscle cell action potential [GO:0086014]; atrial cardiac muscle cell to AV node cell communication [GO:0086066]; atrial septum development [GO:0003283]; cellular calcium ion homeostasis [GO:0006874]; endocytosis [GO:0006897]; membrane depolarization during SA node cell action potential [GO:0086046]; paranodal junction assembly [GO:0030913]; positive regulation of calcium ion transmembrane transporter activity [GO:1901021]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cation channel activity [GO:2001259]; positive regulation of gene expression [GO:0010628]; positive regulation of potassium ion transmembrane transporter activity [GO:1901018]; positive regulation of potassium ion transport [GO:0043268]; protein localization [GO:0008104]; protein localization to cell surface [GO:0034394]; protein localization to endoplasmic reticulum [GO:0070972]; protein localization to M-band [GO:0036309]; protein localization to organelle [GO:0033365]; protein localization to plasma membrane [GO:0072659]; protein localization to T-tubule [GO:0036371]; protein stabilization [GO:0050821]; protein transport [GO:0015031]; regulation of atrial cardiac muscle cell action potential [GO:0098910]; regulation of calcium ion transmembrane transporter activity [GO:1901019]; regulation of calcium ion transport [GO:0051924]; regulation of cardiac muscle cell contraction [GO:0086004]; regulation of cardiac muscle contraction [GO:0055117]; regulation of cardiac muscle contraction by calcium ion signaling [GO:0010882]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of heart rate [GO:0002027]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of protein stability [GO:0031647]; regulation of release of sequestered calcium ion into cytosol [GO:0051279]; regulation of SA node cell action potential [GO:0098907]; regulation of ventricular cardiac muscle cell membrane repolarization [GO:0060307]; response to methylmercury [GO:0051597]; SA node cell action potential [GO:0086015]; SA node cell to atrial cardiac muscle cell communication [GO:0086070]; sarcoplasmic reticulum calcium ion transport [GO:0070296]; T-tubule organization [GO:0033292]; ventricular cardiac muscle cell action potential [GO:0086005]","O00154; P11532-5; Q9NZN3; P62993; Q14654; P32418","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19007774}. Membrane {ECO:0000269|PubMed:19007774}. Cytoplasm, myofibril, sarcomere, M line {ECO:0000250|UniProtKB:Q8C8R3}. Apical cell membrane {ECO:0000250|UniProtKB:Q8C8R3}. Cell membrane {ECO:0000269|PubMed:19007774}. Postsynaptic cell membrane {ECO:0000250|UniProtKB:Q8C8R3}. Early endosome {ECO:0000250|UniProtKB:Q8C8R3}. Recycling endosome {ECO:0000250|UniProtKB:Q8C8R3}. Lysosome {ECO:0000250|UniProtKB:Q8C8R3}. Mitochondrion {ECO:0000250|UniProtKB:Q8C8R3}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250|UniProtKB:Q8C8R3}. Cell membrane, sarcolemma, T-tubule {ECO:0000250|UniProtKB:Q8C8R3}. Note=Expressed at the apical membrane of airway lung epithelial cells (By similarity). Localized to the plasma membrane of the inner segments of photoreceptors in retina. Colocalizes with SPTBN1 in a distinct intracellular compartment of neonatal cardiomyocytes (PubMed:19007774). In skeletal muscle, localizes to neuromuscular junctions (By similarity). Localizes with puncta at mitochondria ends. Colocalizes and cotransports on motile vesicles with RABGAP1L (By similarity). {ECO:0000250|UniProtKB:Q8C8R3, ECO:0000269|PubMed:19007774}.","ENST00000357077.9 [Q01484-4];ENST00000394537.7 [Q01484-2];ENST00000506722.5 [Q01484-5];",0.00419936202280642
"488","ANKRD11",0.476727154714379,8.31099597674714,24.3483952195468,2.84531500226464e-06,"A0A2R8YE03","A0A2R8YE03","unreviewed","A0A2R8YE03_HUMAN","Ankyrin repeat domain-containing protein 11","ANKRD11","","ANKRD11","","","","ENST00000642333.1;ENST00000642695.1;ENST00000644784.1;ENST00000646838.1;",0.00126461318600653
"835","ASNS",0.813546511393687,7.10443843434948,43.195100537453,2.87317828385713e-09,"P08243","P08243","reviewed","ASNS_HUMAN","Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)","ASNS TS11","","ASNS","cytosol [GO:0005829]; asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]; asparagine biosynthetic process [GO:0006529]; cellular response to glucose starvation [GO:0042149]; glutamine metabolic process [GO:0006541]; L-asparagine biosynthetic process [GO:0070981]; negative regulation of apoptotic process [GO:0043066]; positive regulation of mitotic cell cycle [GO:0045931]","Q86WT6; Q86WT6-2; A2RRH5","","ENST00000175506.8 [P08243-1];ENST00000394308.8 [P08243-1];ENST00000394309.7 [P08243-1];ENST00000422745.5 [P08243-2];ENST00000437628.5 [P08243-3];ENST00000444334.5 [P08243-2];ENST00000455086.5 [P08243-3];",2.00670980425393e-06
"864","ATF4",0.435474552245589,8.42702535262647,22.9585067285796,5.15932419661657e-06,"P18848","P18848","reviewed","ATF4_HUMAN","Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67)","ATF4 CREB2 TXREB","FUNCTION: Transcription factor that binds the cAMP response element (CRE) (consensus: 5'-GTGACGT[AC][AG]-3') and displays two biological functions, as regulator of metabolic and redox processes under normal cellular conditions, and as master transcription factor during integrated stress response (ISR) (PubMed:17684156, PubMed:16682973, PubMed:31444471, PubMed:32132707). Binds to asymmetric CRE's as a heterodimer and to palindromic CRE's as a homodimer (By similarity). Core effector of the ISR, which is required for adaptation to various stress such as endoplasmic reticulum (ER) stress, amino acid starvation, mitochondrial stress or oxidative stress (PubMed:32132707). During ISR, ATF4 translation is induced via an alternative ribosome translation re-initiation mechanism in response to EIF2S1/eIF-2-alpha phosphorylation, and stress-induced ATF4 acts as a master transcription factor of stress-responsive genes in order to promote cell recovery (PubMed:32132706, PubMed:32132707). Promotes the transcription of genes linked to amino acid sufficiency and resistance to oxidative stress to protect cells against metabolic consequences of ER oxidation (By similarity). Activates the transcription of NLRP1, possibly in concert with other factors in response to ER stress (PubMed:26086088). Activates the transcription of asparagine synthetase (ASNS) in response to amino acid deprivation or ER stress (PubMed:11960987). However, when associated with DDIT3/CHOP, the transcriptional activation of the ASNS gene is inhibited in response to amino acid deprivation (PubMed:18940792). Together with DDIT3/CHOP, mediates programmed cell death by promoting the expression of genes involved in cellular amino acid metabolic processes, mRNA translation and the terminal unfolded protein response (terminal UPR), a cellular response that elicits programmed cell death when ER stress is prolonged and unresolved (By similarity). Together with DDIT3/CHOP, activates the transcription of the IRS-regulator TRIB3 and promotes ER stress-induced neuronal cell death by regulating the expression of BBC3/PUMA in response to ER stress (PubMed:15775988). May cooperate with the UPR transcriptional regulator QRICH1 to regulate ER protein homeostasis which is critical for cell viability in response to ER stress (PubMed:33384352). In the absence of stress, ATF4 translation is at low levels and it is required for normal metabolic processes such as embryonic lens formation, fetal liver hematopoiesis, bone development and synaptic plasticity (By similarity). Acts as a regulator of osteoblast differentiation in response to phosphorylation by RPS6KA3/RSK2: phosphorylation in osteoblasts enhances transactivation activity and promotes expression of osteoblast-specific genes and post-transcriptionally regulates the synthesis of Type I collagen, the main constituent of the bone matrix (PubMed:15109498). Cooperates with FOXO1 in osteoblasts to regulate glucose homeostasis through suppression of beta-cell production and decrease in insulin production (By similarity). Activates transcription of SIRT4 (By similarity). Regulates the circadian expression of the core clock component PER2 and the serotonin transporter SLC6A4 (By similarity). Binds in a circadian time-dependent manner to the cAMP response elements (CRE) in the SLC6A4 and PER2 promoters and periodically activates the transcription of these genes (By similarity). Mainly acts as a transcriptional activator in cellular stress adaptation, but it can also act as a transcriptional repressor: acts as a regulator of synaptic plasticity by repressing transcription, thereby inhibiting induction and maintenance of long-term memory (By similarity). Regulates synaptic functions via interaction with DISC1 in neurons, which inhibits ATF4 transcription factor activity by disrupting ATF4 dimerization and DNA-binding (PubMed:31444471). {ECO:0000250|UniProtKB:Q06507, ECO:0000269|PubMed:11960987, ECO:0000269|PubMed:15109498, ECO:0000269|PubMed:15775988, ECO:0000269|PubMed:16682973, ECO:0000269|PubMed:17684156, ECO:0000269|PubMed:18940792, ECO:0000269|PubMed:26086088, ECO:0000269|PubMed:31444471, ECO:0000269|PubMed:32132706, ECO:0000269|PubMed:32132707, ECO:0000269|PubMed:33384352}.; FUNCTION: (Microbial infection) Binds to a Tax-responsive enhancer element in the long terminal repeat of HTLV-I. {ECO:0000269|PubMed:1847461}.","ATF4","ATF1-ATF4 transcription factor complex [GO:1990590]; ATF4-CREB1 transcription factor complex [GO:1990589]; CHOP-ATF4 complex [GO:1990617]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; dendrite membrane [GO:0032590]; Lewy body core [GO:1990037]; microtubule organizing center [GO:0005815]; neuron projection [GO:0043005]; nuclear periphery [GO:0034399]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; RNA polymerase II transcription regulator complex [GO:0090575]; cAMP response element binding protein binding [GO:0008140]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; general transcription initiation factor binding [GO:0140296]; identical protein binding [GO:0042802]; leucine zipper domain binding [GO:0043522]; promoter-specific chromatin binding [GO:1990841]; protein C-terminus binding [GO:0008022]; protein heterodimerization activity [GO:0046982]; protein kinase binding [GO:0019901]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]; bone mineralization [GO:0030282]; cellular calcium ion homeostasis [GO:0006874]; cellular response to amino acid starvation [GO:0034198]; cellular response to dopamine [GO:1903351]; cellular response to glucose starvation [GO:0042149]; cellular response to leucine starvation [GO:1990253]; cellular response to oxidative stress [GO:0034599]; cellular response to oxygen-glucose deprivation [GO:0090650]; cellular response to UV [GO:0034644]; circadian regulation of gene expression [GO:0032922]; embryonic hemopoiesis [GO:0035162]; endoplasmic reticulum unfolded protein response [GO:0030968]; gamma-aminobutyric acid signaling pathway [GO:0007214]; gluconeogenesis [GO:0006094]; HRI-mediated signaling [GO:0140468]; integrated stress response signaling [GO:0140467]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; L-asparagine metabolic process [GO:0070982]; lens fiber cell morphogenesis [GO:0070309]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of oxidative stress-induced neuron death [GO:1903204]; negative regulation of potassium ion transport [GO:0043267]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of translational initiation in response to stress [GO:0032057]; neuron differentiation [GO:0030182]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of apoptotic process [GO:0043065]; positive regulation of biomineral tissue development [GO:0070169]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of sodium-dependent phosphate transport [GO:2000120]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance [GO:0061395]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0036091]; positive regulation of transcription from RNA polymerase II promoter in response to stress [GO:0036003]; positive regulation of vascular associated smooth muscle cell apoptotic process [GO:1905461]; positive regulation of vascular endothelial growth factor production [GO:0010575]; regulation of DNA-templated transcription [GO:0006355]; regulation of osteoblast differentiation [GO:0045667]; regulation of synaptic plasticity [GO:0048167]; regulation of transcription by RNA polymerase II [GO:0006357]; response to endoplasmic reticulum stress [GO:0034976]; response to manganese-induced endoplasmic reticulum stress [GO:1990737]; response to nutrient levels [GO:0031667]; response to toxic substance [GO:0009636]; transcription by RNA polymerase II [GO:0006366]","Q9BXS5; P15336; P18847; P18848; Q16520; Q9NR55; Q13515; A0A0S2Z507; B7Z3H4; Q9Y297; Q9Y297-2; P55212; Q9BWC9; P49715; P17676; P49716; Q15744; P53567; Q9Y592-2; Q9NS37; Q9UIK4-2; P35638; Q9NRI5; Q9NV70; P01100; P15407; Q96CN9; Q92805; Q0D2H9; Q08AF8; Q13227; Q99871; Q8WYK2; P05412; P17275; P13473-2; O95751; O75444; Q96NT1; O14777; Q16236; P19387; O75400-2; Q86UD0; Q9Y371; A2RTX5; Q96RU7; P02766; O54784","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16682973, ECO:0000269|PubMed:22974638, ECO:0000269|PubMed:23123191, ECO:0000269|PubMed:31444471}. Nucleus speckle {ECO:0000269|PubMed:16219772}. Cytoplasm {ECO:0000250|UniProtKB:Q9ES19}. Cell membrane {ECO:0000250|UniProtKB:Q9ES19}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:20873783}. Note=Colocalizes with GABBR1 in hippocampal neuron dendritic membranes (By similarity). Colocalizes with NEK6 at the centrosome (PubMed:20873783). Recruited to nuclear speckles following interaction with EP300/p300 (PubMed:16219772). {ECO:0000250|UniProtKB:Q9ES19, ECO:0000269|PubMed:16219772, ECO:0000269|PubMed:20873783}.","ENST00000337304.2;ENST00000396680.3;ENST00000404241.6;ENST00000674568.2;ENST00000674835.2;ENST00000674920.3;ENST00000676346.2;ENST00000679776.1;",0.00202625245746397
"1093","BCAT1",0.464100963978867,7.99198353687229,31.2200035758864,1.66091144460315e-07,"P54687","P54687","reviewed","BCAT1_HUMAN","Branched-chain-amino-acid aminotransferase, cytosolic (BCAT(c)) (EC 2.6.1.42) (Protein ECA39)","BCAT1 BCT1 ECA39","FUNCTION: Catalyzes the first reaction in the catabolism of the essential branched chain amino acids leucine, isoleucine, and valine.","BCAT1","cytosol [GO:0005829]; mitochondrion [GO:0005739]; branched-chain-amino-acid transaminase activity [GO:0004084]; L-isoleucine transaminase activity [GO:0052656]; L-leucine transaminase activity [GO:0052654]; L-leucine:2-oxoglutarate aminotransferase activity [GO:0050048]; L-valine transaminase activity [GO:0052655]; branched-chain amino acid biosynthetic process [GO:0009082]; G1/S transition of mitotic cell cycle [GO:0000082]; leucine biosynthetic process [GO:0009098]; lipid metabolic process [GO:0006629]; valine biosynthetic process [GO:0009099]","P55212; O75190-2; O14645; P22607; P06396; O14901; P13473-2; O75400-2","SUBCELLULAR LOCATION: Cytoplasm.","ENST00000261192.12 [P54687-1];ENST00000342945.9 [P54687-2];ENST00000538118.5 [P54687-4];ENST00000539282.5 [P54687-5];ENST00000539780.5 [P54687-3];",9.28022406018835e-05
"1202","BNIP3",1.44944881179365,5.62210493437852,119.211519219087,2.69717133864702e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27458826985812e-16
"1763","CCND2",0.411078017768019,8.8328750431313,18.6095238400731,3.49192814439422e-05,"P30279","P30279","reviewed","CCND2_HUMAN","G1/S-specific cyclin-D2","CCND2","FUNCTION: Regulatory component of the cyclin D2-CDK4 (DC) complex that phosphorylates and inhibits members of the retinoblastoma (RB) protein family including RB1 and regulates the cell-cycle during G(1)/S transition (PubMed:8114739, PubMed:18827403). Phosphorylation of RB1 allows dissociation of the transcription factor E2F from the RB/E2F complex and the subsequent transcription of E2F target genes which are responsible for the progression through the G(1) phase (PubMed:8114739, PubMed:18827403). Hypophosphorylates RB1 in early G(1) phase (PubMed:8114739, PubMed:18827403). Cyclin D-CDK4 complexes are major integrators of various mitogenenic and antimitogenic signals (PubMed:8114739, PubMed:18827403). {ECO:0000269|PubMed:18827403, ECO:0000269|PubMed:8114739}.","CCND2","chromatin [GO:0000785]; cyclin D2-CDK4 complex [GO:0097129]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]; adult locomotory behavior [GO:0008344]; cell division [GO:0051301]; cellular response to X-ray [GO:0071481]; G1/S transition of mitotic cell cycle [GO:0000082]; long-term memory [GO:0007616]; mitotic cell cycle phase transition [GO:0044772]; negative regulation of apoptotic process [GO:0043066]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of protein phosphorylation [GO:0001934]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]","P11802; Q00535; P38936; P46527","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18827403}. Cytoplasm {ECO:0000269|PubMed:18827403}. Nucleus membrane {ECO:0000269|PubMed:18827403}. Note=Cyclin D-CDK4 complexes accumulate at the nuclear membrane and are then translocated into the nucleus through interaction with KIP/CIP family members. {ECO:0000269|PubMed:18827403}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:17873913}.","ENST00000261254.8 [P30279-1];ENST00000676279.1 [P30279-1];ENST00000676411.1 [P30279-1];",0.00886859049243809
"2095","CHAC1",1.05971539820781,4.00859532712553,27.4204460901202,8.54991670607558e-07,"Q9BUX1","Q9BUX1","reviewed","CHAC1_HUMAN","Glutathione-specific gamma-glutamylcyclotransferase 1 (Gamma-GCG 1) (EC 4.3.2.7) (Blocks Notch protein) (Botch) (Cation transport regulator-like protein 1)","CHAC1 BOTCH","FUNCTION: Catalyzes the cleavage of glutathione into 5-oxo-L-proline and a Cys-Gly dipeptide. Acts specifically on glutathione, but not on other gamma-glutamyl peptides (PubMed:27913623). Glutathione depletion is an important factor for apoptosis initiation and execution. Acts as a pro-apoptotic component of the unfolded protein response pathway by mediating the pro-apoptotic effects of the ATF4-ATF3-DDIT3/CHOP cascade (PubMed:19109178). Negative regulator of Notch signaling pathway involved in embryonic neurogenesis: acts by inhibiting Notch cleavage by furin, maintaining Notch in an immature inactive form, thereby promoting neurogenesis in embryos (PubMed:22445366). {ECO:0000269|PubMed:19109178, ECO:0000269|PubMed:22445366, ECO:0000269|PubMed:27913623}.","CHAC1","cytoplasm [GO:0005737]; cytosol [GO:0005829]; trans-Golgi network [GO:0005802]; gamma-glutamylcyclotransferase activity [GO:0003839]; glutathione specific gamma-glutamylcyclotransferase activity [GO:0061928]; Notch binding [GO:0005112]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of protein processing [GO:0010955]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; response to unfolded protein [GO:0006986]","Q9BQY4","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:19109178}. Golgi apparatus, trans-Golgi network {ECO:0000250|UniProtKB:Q8R3J5}.","ENST00000444189.7 [Q9BUX1-2];ENST00000617768.5 [Q9BUX1-1];",0.000440005713431616
"2620","CSTA",2.58177454104169,3.04926750591175,23.4158475178639,4.23830736929157e-06,"P01040","P01040","reviewed","CYTA_HUMAN","Cystatin-A (Cystatin-AS) (Stefin-A) [Cleaved into: Cystatin-A, N-terminally processed]","CSTA STF1 STFA","FUNCTION: This is an intracellular thiol proteinase inhibitor. Has an important role in desmosome-mediated cell-cell adhesion in the lower levels of the epidermis. {ECO:0000269|PubMed:21944047}.","CSTA","cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; peptidase inhibitor complex [GO:1904090]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; protease binding [GO:0002020]; cell-cell adhesion [GO:0098609]; keratinocyte differentiation [GO:0030216]; negative regulation of peptidase activity [GO:0010466]; negative regulation of proteolysis [GO:0045861]; peptide cross-linking [GO:0018149]","G5E9A7; P28799; P04792; Q9Y3C5; Q7Z699; O76024; P00784","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21944047}.","ENST00000264474.4;",0.00180183345464926
