"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"51","ABCE1",0.38029357241185,7.263039297368,14.6361106919482,0.000215834551446246,"P61221","P61221","reviewed","ABCE1_HUMAN","ATP-binding cassette sub-family E member 1 (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I)","ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40","FUNCTION: Cotranslational quality control factor involved in the No-Go Decay (NGD) pathway (PubMed:21448132). Together with PELO and HBS1L, is required for 48S complex formation from 80S ribosomes and dissociation of vacant 80S ribosomes (PubMed:21448132). Together with PELO and HBS1L, recognizes stalled ribosomes and promotes dissociation of elongation complexes assembled on non-stop mRNAs; this triggers endonucleolytic cleavage of the mRNA, a mechanism to release non-functional ribosomes and to degrade damaged mRNAs as part of the No-Go Decay (NGD) pathway (PubMed:21448132). Plays a role in the regulation of mRNA turnover (By similarity). Plays a role in quality control of translation of mitochondrial outer membrane-localized mRNA (PubMed:29861391). As part of the PINK1-regulated signaling, ubiquitinated by CNOT4 upon mitochondria damage; this modification generates polyubiquitin signals that recruit autophagy receptors to the mitochondrial outer membrane and initiate mitophagy (PubMed:29861391). RNASEL-specific protein inhibitor which antagonizes the binding of 2-5A (5'-phosphorylated 2',5'-linked oligoadenylates) to RNASEL (PubMed:9660177). Negative regulator of the anti-viral effect of the interferon-regulated 2-5A/RNASEL pathway (PubMed:9660177, PubMed:9847332, PubMed:11585831). {ECO:0000250|UniProtKB:P61222, ECO:0000269|PubMed:11585831, ECO:0000269|PubMed:21448132, ECO:0000269|PubMed:29861391, ECO:0000269|PubMed:9660177, ECO:0000269|PubMed:9847332}.; FUNCTION: (Microbial infection) May act as a chaperone for post-translational events during HIV-1 capsid assembly. {ECO:0000269|PubMed:9847332}.; FUNCTION: (Microbial infection) Plays a role in the down-regulation of the 2-5A/RNASEL pathway during encephalomyocarditis virus (EMCV) and HIV-1 infections. {ECO:0000269|PubMed:9660177}.","ABCE1","cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; endoribonuclease inhibitor activity [GO:0060698]; iron ion binding [GO:0005506]; ribosomal small subunit binding [GO:0043024]; negative regulation of endoribonuclease activity [GO:0060702]; regulation of translation [GO:0006417]; ribosomal subunit export from nucleus [GO:0000054]; translational initiation [GO:0006413]; translational termination [GO:0006415]","O75822; P03347-1; Q9WH76; P69479","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11585831}. Mitochondrion {ECO:0000269|PubMed:11585831}. Note=Localized to clusters of virus formation at the plasma membrane.","ENST00000296577.9;",0.00588215954414536
"55","ABCG1",-1.69193216805341,2.6394301511836,17.3585164197871,7.46596933812497e-05,"P45844","P45844","reviewed","ABCG1_HUMAN","ATP-binding cassette sub-family G member 1 (EC 7.6.2.-) (ATP-binding cassette transporter 8) (White protein homolog)","ABCG1 ABC8 WHT1","FUNCTION: Catalyzes the efflux of phospholipids such as sphingomyelin, cholesterol and its oxygenated derivatives like 7beta-hydroxycholesterol and this transport is coupled to hydrolysis of ATP (PubMed:17408620, PubMed:24576892). The lipid efflux is ALB-dependent (PubMed:16702602). Is an active component of the macrophage lipid export complex. Could also be involved in intracellular lipid transport processes. The role in cellular lipid homeostasis may not be limited to macrophages. Prevents cell death by transporting cytotoxic 7beta-hydroxycholesterol (PubMed:17408620). {ECO:0000269|PubMed:16702602, ECO:0000269|PubMed:17408620, ECO:0000269|PubMed:24576892}.","ABCG1","endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; ABC-type sterol transporter activity [GO:0034041]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; cholesterol binding [GO:0015485]; cholesterol transfer activity [GO:0120020]; floppase activity [GO:0140328]; phosphatidylcholine floppase activity [GO:0090554]; phospholipid binding [GO:0005543]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; toxin transmembrane transporter activity [GO:0019534]; amyloid precursor protein catabolic process [GO:0042987]; cellular response to high density lipoprotein particle stimulus [GO:0071403]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; glycoprotein transport [GO:0034436]; high-density lipoprotein particle remodeling [GO:0034375]; intracellular cholesterol transport [GO:0032367]; low-density lipoprotein particle remodeling [GO:0034374]; negative regulation of cholesterol storage [GO:0010887]; negative regulation of macrophage derived foam cell differentiation [GO:0010745]; phospholipid efflux [GO:0033700]; phospholipid homeostasis [GO:0055091]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of cholesterol biosynthetic process [GO:0045542]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of protein secretion [GO:0050714]; regulation of cholesterol metabolic process [GO:0090181]; response to lipid [GO:0033993]; response to organic substance [GO:0010033]; reverse cholesterol transport [GO:0043691]; transmembrane transport [GO:0055085]","Q9H172; Q13520; P13473-2; O75400-2; Q9Y371","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22042635}; Multi-pass membrane protein {ECO:0000269|PubMed:22042635}. Golgi apparatus membrane {ECO:0000269|PubMed:22042635}; Multi-pass membrane protein {ECO:0000269|PubMed:22042635}. Cell membrane {ECO:0000269|PubMed:16702602, ECO:0000269|PubMed:24576892}. Note=Predominantly localized in the intracellular compartments mainly associated with the endoplasmic reticulum (ER) and Golgi membranes.","ENST00000343687.7 [P45844-2];ENST00000347800.6 [P45844-5];ENST00000361802.6 [P45844-1];ENST00000398449.8 [P45844-4];ENST00000398457.6 [P45844-3];",0.00256598411909265
"85","ABLIM1",-0.522390069617065,5.82145528199898,15.1776807989908,0.000167603556233317,"O14639","O14639","reviewed","ABLM1_HUMAN","Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin)","ABLIM1 ABLIM KIAA0059 LIMAB1","FUNCTION: May act as scaffold protein (By similarity). May play a role in the development of the retina. Has been suggested to play a role in axon guidance. {ECO:0000250, ECO:0000269|PubMed:9245787}.","ABLIM1","actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; lamellipodium [GO:0030027]; stress fiber [GO:0001725]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; metal ion binding [GO:0046872]; animal organ morphogenesis [GO:0009887]; cilium assembly [GO:0060271]; cytoskeleton organization [GO:0007010]; lamellipodium assembly [GO:0030032]; visual perception [GO:0007601]","Q9H257; O95751; Q2TAC2-2; Q14192; O75031","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Associated with the cytoskeleton. {ECO:0000250}.","ENST00000369253.6 [O14639-4];ENST00000369256.6 [O14639-6];ENST00000392952.7 [O14639-5];ENST00000392955.7 [O14639-2];ENST00000533213.7 [O14639-1];",0.00480594596143511
"150","ACSL3",-0.494854544935261,8.06324485964859,30.4052579344519,2.30688639185436e-07,"A0A7P0TBL9","A0A7P0TBL9","unreviewed","A0A7P0TBL9_HUMAN","Fatty acid CoA ligase Acsl3","ACSL3","","ACSL3","integral component of membrane [GO:0016021]","","","ENST00000680736.1;ENST00000681292.1;",2.3135112963643e-05
"159","ACTG1",0.631722108166545,11.3815761106378,35.7168716902389,1.08330478439458e-07,"P63261","P63261","reviewed","ACTG_HUMAN","Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]","ACTG1 ACTG","FUNCTION: Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells. {ECO:0000305|PubMed:29581253}.","ACTG1","actin filament [GO:0005884]; apical junction complex [GO:0043296]; basal body patch [GO:0120220]; blood microparticle [GO:0072562]; calyx of Held [GO:0044305]; cell-cell junction [GO:0005911]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dense body [GO:0097433]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; filamentous actin [GO:0031941]; focal adhesion [GO:0005925]; membrane [GO:0016020]; myofibril [GO:0030016]; nucleus [GO:0005634]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; postsynaptic actin cytoskeleton [GO:0098871]; presynaptic actin cytoskeleton [GO:0099143]; Schaffer collateral - CA1 synapse [GO:0098685]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; profilin binding [GO:0005522]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of postsynaptic actin cytoskeleton [GO:0098973]; ubiquitin protein ligase binding [GO:0031625]; angiogenesis [GO:0001525]; cellular response to interferon-gamma [GO:0071346]; maintenance of blood-brain barrier [GO:0035633]; morphogenesis of a polarized epithelium [GO:0001738]; platelet aggregation [GO:0070527]; positive regulation of cell migration [GO:0030335]; positive regulation of gene expression [GO:0010628]; positive regulation of wound healing [GO:0090303]; protein localization to bicellular tight junction [GO:1902396]; regulation of focal adhesion assembly [GO:0051893]; regulation of stress fiber assembly [GO:0051492]; regulation of transepithelial transport [GO:0150111]; response to calcium ion [GO:0051592]; response to mechanical stimulus [GO:0009612]; retina homeostasis [GO:0001895]; sarcomere organization [GO:0045214]; synaptic vesicle endocytosis [GO:0048488]; tight junction assembly [GO:0120192]","P60709; P63261; P40123; O60826; Q16543; P23528; Q549N0; Q9Y281; P60981; Q08426; P42858; P40692; Q96HA8; Q1KLZ0","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:28493397}.","ENST00000570382.2;ENST00000571721.6;ENST00000573283.7;ENST00000575087.5;ENST00000575659.6;ENST00000575842.5;ENST00000575994.6;ENST00000576544.6;ENST00000615544.5;ENST00000679480.1;ENST00000679778.1;ENST00000680227.1;ENST00000680727.1;ENST00000681052.1;ENST00000681842.1;",1.23169234672212e-05
"161","ACTN1",0.449635030220313,8.8131331625041,24.8935679466681,2.25742577327548e-06,"P12814","P12814","reviewed","ACTN1_HUMAN","Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)","ACTN1","FUNCTION: F-actin cross-linking protein which is thought to anchor actin to a variety of intracellular structures. This is a bundling protein.","ACTN1","brush border [GO:0005903]; cell junction [GO:0030054]; cell projection [GO:0042995]; cell-cell junction [GO:0005911]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fascia adherens [GO:0005916]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; pseudopodium [GO:0031143]; ruffle [GO:0001726]; stress fiber [GO:0001725]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; cytoskeletal regulatory protein binding [GO:0005519]; double-stranded RNA binding [GO:0003725]; integrin binding [GO:0005178]; nuclear receptor coactivator activity [GO:0030374]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; structural constituent of postsynapse [GO:0099186]; transmembrane transporter binding [GO:0044325]; vinculin binding [GO:0017166]; actin cytoskeleton organization [GO:0030036]; actin filament bundle assembly [GO:0051017]; actin filament network formation [GO:0051639]; actin filament organization [GO:0007015]; focal adhesion assembly [GO:0048041]; muscle cell development [GO:0055001]; platelet formation [GO:0030220]; platelet morphogenesis [GO:0036344]; regulation of apoptotic process [GO:0042981]","P35609; Q08043; Q92624; Q96QS3; Q9NWQ9; Q13936; Q8NA61; P63172; P05198; Q7L775; O95257; Q9Y223; Q8NC69; Q8TBB1; Q8IY33; A0A0S2Z4Y0; Q9NP98; Q9NPC6; Q6ZUT1; P00973; P00973-2; P50479; Q9BYB0; P12931; Q8N3V7; Q9H987-2; Q8WZ42; P10599; O75604; B2R8Y4; Q8VC66; PRO_0000037577 [P27958]","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:24069336, ECO:0000269|PubMed:7750553}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:7750553}. Cell membrane {ECO:0000250|UniProtKB:Q9Z1P2}. Cell junction {ECO:0000250|UniProtKB:Q9Z1P2}. Cell projection, ruffle {ECO:0000250|UniProtKB:Q7TPR4}. Note=Colocalizes with MYOZ2 and PPP3CA at the Z-line of heart and skeletal muscle. Colocalizes with PSD in membrane ruffles and central reticular structures. {ECO:0000250|UniProtKB:Q7TPR4}.","ENST00000193403.10 [P12814-1];ENST00000394419.9 [P12814-3];ENST00000438964.6 [P12814-2];ENST00000538545.6 [P12814-4];",0.000156546873837501
"163","ACTN4",0.584257646181004,5.32095289100646,19.7366136867528,2.11114184475102e-05,"O43707","O43707","reviewed","ACTN4_HUMAN","Alpha-actinin-4 (Non-muscle alpha-actinin 4)","ACTN4","FUNCTION: F-actin cross-linking protein which is thought to anchor actin to a variety of intracellular structures. This is a bundling protein (Probable). Probably involved in vesicular trafficking via its association with the CART complex. The CART complex is necessary for efficient transferrin receptor recycling but not for EGFR degradation (PubMed:15772161). Involved in tight junction assembly in epithelial cells probably through interaction with MICALL2. Links MICALL2 to the actin cytoskeleton and recruits it to the tight junctions (By similarity). May also function as a transcriptional coactivator, stimulating transcription mediated by the nuclear hormone receptors PPARG and RARA (PubMed:22351778). {ECO:0000250|UniProtKB:P57780, ECO:0000269|PubMed:15772161, ECO:0000269|PubMed:22351778, ECO:0000305|PubMed:9508771}.","ACTN4","actin cytoskeleton [GO:0015629]; cell junction [GO:0030054]; cell projection [GO:0042995]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; neuron projection [GO:0043005]; nuclear body [GO:0016604]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; protein-containing complex [GO:0032991]; pseudopodium [GO:0031143]; ribonucleoprotein complex [GO:1990904]; stress fiber [GO:0001725]; Z disc [GO:0030018]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; chromatin DNA binding [GO:0031490]; integrin binding [GO:0005178]; nuclear receptor binding [GO:0016922]; nuclear receptor coactivator activity [GO:0030374]; nuclear retinoic acid receptor binding [GO:0042974]; nucleoside binding [GO:0001882]; protein homodimerization activity [GO:0042803]; protein N-terminus binding [GO:0047485]; RNA binding [GO:0003723]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; transcription coactivator activity [GO:0003713]; transmembrane transporter binding [GO:0044325]; actin cytoskeleton organization [GO:0030036]; muscle cell development [GO:0055001]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; peroxisome proliferator activated receptor signaling pathway [GO:0035357]; positive regulation of cell migration [GO:0030335]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of sodium:proton antiporter activity [GO:0032417]; protein transport [GO:0015031]; regulation of apoptotic process [GO:0042981]; regulation of nucleic acid-templated transcription [GO:1903506]; response to hypoxia [GO:0001666]; retinoic acid receptor signaling pathway [GO:0048384]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; vesicle transport along actin filament [GO:0030050]","Q08043; A8K571; Q9NWQ9; P35222; P46940; O60294; Q8TBB1; P50222; Q8IY33; Q9NPC6; O00151; O94875-10; Q07157; B2R8Y4; P03466; Q5L4H4; P10276","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22351778, ECO:0000269|PubMed:9508771}. Cytoplasm {ECO:0000269|PubMed:22351778, ECO:0000269|PubMed:9508771}. Cell junction {ECO:0000250|UniProtKB:P57780}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000269|PubMed:9508771}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:P57780}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. Expressed in the perinuclear rim and manchette structure in early elongating spermatids during spermiogenesis (By similarity). Nuclear translocation can be induced by the PI3 kinase inhibitor wortmannin or by cytochalasin D. Exclusively localized in the nucleus in a limited number of cell lines (breast cancer cell line MCF-7, oral floor cancer IMC-2, and bladder cancer KU-7). {ECO:0000250|UniProtKB:P57780, ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:9508771}.","ENST00000252699.7 [O43707-1];ENST00000390009.7 [O43707-2];ENST00000634692.1 [O43707-2];ENST00000634960.2 [O43707-1];",0.000940443961638973
"197","ADAMTS1",2.3493508607849,1.54102067639684,19.3293231295742,2.53054163696529e-05,"Q9UHI8","Q9UHI8","reviewed","ATS1_HUMAN","A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1) (EC 3.4.24.-) (METH-1)","ADAMTS1 KIAA1346 METH1","FUNCTION: Cleaves aggrecan, a cartilage proteoglycan, at the '1938-Glu-|-Leu-1939' site (within the chondroitin sulfate attachment domain), and may be involved in its turnover (By similarity). Has angiogenic inhibitor activity. Active metalloprotease, which may be associated with various inflammatory processes as well as development of cancer cachexia. May play a critical role in follicular rupture. {ECO:0000250, ECO:0000269|PubMed:10438512}.","ADAMTS1","basement membrane [GO:0005604]; cytoplasmic vesicle [GO:0031410]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; heparin binding [GO:0008201]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]; extracellular matrix organization [GO:0030198]; heart trabecula formation [GO:0060347]; integrin-mediated signaling pathway [GO:0007229]; kidney development [GO:0001822]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell population proliferation [GO:0008285]; ovulation from ovarian follicle [GO:0001542]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; proteolysis [GO:0006508]","Q6A162; P60410; O00233","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.","ENST00000284984.8;",0.00109937930444101
"199","ADAMTS12",1.20799826971279,2.74452282819815,16.9872781402149,7.27791788358007e-05,"A0A0G2JRM9","A0A0G2JRM9","unreviewed","A0A0G2JRM9_HUMAN","A disintegrin and metalloproteinase with thrombospondin motifs 12","ADAMTS12","","ADAMTS12","","","","ENST00000630002.1;ENST00000630537.2;",0.00251461063836205
"201","ADAMTS15",1.88255909552605,2.16716333459336,13.412126973325,0.000384522147388386,"Q8TE58","Q8TE58","reviewed","ATS15_HUMAN","A disintegrin and metalloproteinase with thrombospondin motifs 15 (ADAM-TS 15) (ADAM-TS15) (ADAMTS-15) (EC 3.4.24.-)","ADAMTS15","FUNCTION: Metalloprotease which has proteolytic activity against the proteoglycan VCAN, cleaving it at the 'Glu-1428-|-1429-Ala' site. Cleaves VCAN in the pericellular matrix surrounding myoblasts, facilitating myoblast contact and fusion which is required for skeletal muscle development and regeneration. {ECO:0000250|UniProtKB:P59384}.","ADAMTS15","cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; endopeptidase activity [GO:0004175]; extracellular matrix binding [GO:0050840]; heparin binding [GO:0008201]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; extracellular matrix disassembly [GO:0022617]; extracellular matrix organization [GO:0030198]; myoblast fusion [GO:0007520]; proteolysis [GO:0006508]","","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:P59384}. Cell surface {ECO:0000250|UniProtKB:P59384}.","ENST00000299164.4;",0.00932943649309409
