"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"440","AMIGO2",0.552220192210299,8.92071170656727,36.712965879704,1.91246095570375e-08,"Q86SJ2","Q86SJ2","reviewed","AMGO2_HUMAN","Amphoterin-induced protein 2 (AMIGO-2) (Alivin-1) (Differentially expressed in gastric adenocarcinomas) (DEGA)","AMIGO2 ALI1","FUNCTION: Required for depolarization-dependent survival of cultured cerebellar granule neurons. May mediate homophilic as well as heterophilic cell-cell interaction with AMIGO1 or AMIGO3. May contribute to signal transduction through its intracellular domain. May be required for tumorigenesis of a subset of gastric adenocarcinomas.","AMIGO2","integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; brain development [GO:0007420]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of apoptotic process [GO:0043066]; negative regulation of programmed cell death [GO:0043069]; positive regulation of synapse assembly [GO:0051965]","O00555; Q6PL24","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Nucleus {ECO:0000250}. Note=Associated with nucleus as well as plasma membrane. Restricted to somata of cerebellar as well as hippocampal neurons (By similarity). {ECO:0000250}.","ENST00000266581.4;ENST00000429635.1;ENST00000550413.2;",1.87000432248713e-05
"835","ASNS",0.914808537644021,7.10443843434948,43.4288074698126,2.64871695173159e-09,"P08243","P08243","reviewed","ASNS_HUMAN","Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)","ASNS TS11","","ASNS","cytosol [GO:0005829]; asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]; asparagine biosynthetic process [GO:0006529]; cellular response to glucose starvation [GO:0042149]; glutamine metabolic process [GO:0006541]; L-asparagine biosynthetic process [GO:0070981]; negative regulation of apoptotic process [GO:0043066]; positive regulation of mitotic cell cycle [GO:0045931]","Q86WT6; Q86WT6-2; A2RRH5","","ENST00000175506.8 [P08243-1];ENST00000394308.8 [P08243-1];ENST00000394309.7 [P08243-1];ENST00000422745.5 [P08243-2];ENST00000437628.5 [P08243-3];ENST00000444334.5 [P08243-2];ENST00000455086.5 [P08243-3];",3.04695933576841e-06
"2620","CSTA",1.78139737510288,3.04926750591175,27.2875046536065,8.27501402450654e-07,"P01040","P01040","reviewed","CYTA_HUMAN","Cystatin-A (Cystatin-AS) (Stefin-A) [Cleaved into: Cystatin-A, N-terminally processed]","CSTA STF1 STFA","FUNCTION: This is an intracellular thiol proteinase inhibitor. Has an important role in desmosome-mediated cell-cell adhesion in the lower levels of the epidermis. {ECO:0000269|PubMed:21944047}.","CSTA","cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; peptidase inhibitor complex [GO:1904090]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; protease binding [GO:0002020]; cell-cell adhesion [GO:0098609]; keratinocyte differentiation [GO:0030216]; negative regulation of peptidase activity [GO:0010466]; negative regulation of proteolysis [GO:0045861]; peptide cross-linking [GO:0018149]","G5E9A7; P28799; P04792; Q9Y3C5; Q7Z699; O76024; P00784","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21944047}.","ENST00000264474.4;",0.00057795062236875
"2868","DDT",-0.530769765216116,7.18961856665461,27.5294019364964,7.48543889238792e-07,"P30046","P30046","reviewed","DOPD_HUMAN","D-dopachrome decarboxylase (EC 4.1.1.84) (D-dopachrome tautomerase) (Phenylpyruvate tautomerase II)","DDT","FUNCTION: Tautomerization of D-dopachrome with decarboxylation to give 5,6-dihydroxyindole (DHI). {ECO:0000269|PubMed:8267597, ECO:0000269|PubMed:9480844}.","DDT","cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; cytokine receptor binding [GO:0005126]; D-dopachrome decarboxylase activity [GO:0033981]; dopachrome isomerase activity [GO:0004167]; phenylpyruvate tautomerase activity [GO:0050178]; melanin biosynthetic process [GO:0042438]; negative regulation of macrophage chemotaxis [GO:0010760]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of inflammatory response [GO:0050729]; positive regulation of tumor necrosis factor production [GO:0032760]","","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:8267597}.","ENST00000350608.7 [P30046-1];ENST00000398344.9 [P30046-1];ENST00000430101.2 [P30046-2];ENST00000615721.3 [P30046-1];ENST00000626871.2 [P30046-1];ENST00000629401.2 [P30046-2];",0.000542167566590882
"3083","DNAJB1",-0.495406295161369,8.00105597541665,28.2123326421517,5.64589782987762e-07,"A0A7I2V3K7","A0A7I2V3K7","unreviewed","A0A7I2V3K7_HUMAN","DnaJ homolog subfamily B member 1","DNAJB1","","DNAJB1","unfolded protein binding [GO:0051082]; protein folding [GO:0006457]","","","ENST00000676577.1;",0.000448546206511844
"3438","EIF3K",-0.522521860961223,7.87956048190334,22.144429005803,7.33641953127548e-06,"K7ERF1","K7ERF1","unreviewed","K7ERF1_HUMAN","Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (eIF-3 p25)","EIF3K EIF3S12 hCG_2040051","FUNCTION: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2:GTP:methionyl-tRNAi and eIF-5 to form the 43S pre-initiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation, including cell cycling, differentiation and apoptosis, and uses different modes of RNA stem-loop binding to exert either translational activation or repression. {ECO:0000256|HAMAP-Rule:MF_03010}.","EIF3K","eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; nucleus [GO:0005634]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]; formation of cytoplasmic translation initiation complex [GO:0001732]; regulation of translational initiation [GO:0006446]","","SUBCELLULAR LOCATION: Nucleus {ECO:0000256|HAMAP-Rule:MF_03010}. Cytoplasm {ECO:0000256|HAMAP-Rule:MF_03010}.","ENST00000592558.1;",0.00398530612093398
"3442","EIF4A2",0.511541175686412,8.0910279161715,26.9210267912835,9.63646940512135e-07,"Q14240","Q14240","reviewed","IF4A2_HUMAN","Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)","EIF4A2 DDX2B EIF4F","FUNCTION: ATP-dependent RNA helicase which is a subunit of the eIF4F complex involved in cap recognition and is required for mRNA binding to ribosome. In the current model of translation initiation, eIF4A unwinds RNA secondary structures in the 5'-UTR of mRNAs which is necessary to allow efficient binding of the small ribosomal subunit, and subsequent scanning for the initiator codon.","EIF4A2","cytosol [GO:0005829]; eukaryotic translation initiation factor 4F complex [GO:0016281]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; helicase activity [GO:0004386]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; translation initiation factor activity [GO:0003743]; cellular response to leukemia inhibitory factor [GO:1990830]; cytoplasmic translational initiation [GO:0002183]; negative regulation of RNA-directed 5'-3' RNA polymerase activity [GO:1900260]; regulation of translational initiation [GO:0006446]; translational initiation [GO:0006413]","Q7L190; P04792; Q9UI26; Q53EL6; Q7RTY1; Q9Y2D8; Q9NQ86; Q9HCM9; PRO_0000037577 [P27958]; P54253; Q96D03; Q7L190; P42858; Q99750; Q53EL6; Q8WWB5; Q9Y2D8; Q9NQ86; Q9HCM9; Q6ZNG0","","ENST00000323963.10 [Q14240-1];ENST00000440191.6 [Q14240-2];",0.000649830329953631
"4007","ENSG00000209082",-2.05479703265949,1.92684416784159,20.70027878647,1.37894750965807e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00674167437471832
"4011","ENSG00000210082",-1.93320420643487,15.7215507686722,170.860606318661,4.34676349187491e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.44503409412286e-13
"4414","ENSG00000225972",-2.04872484877083,11.0627137408164,177.292258870482,1.68924390907421e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.12935673573192e-13
