"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"1202","BNIP3",0.867866231215331,5.62210493437852,21.6222926691958,9.20762700321624e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00885107371882993
"1203","BNIP3L",0.794647319690554,7.77075551020973,24.2526236800894,4.93210636589303e-06,"Q6IBV1","Q6IBV1","unreviewed","Q6IBV1_HUMAN","BCL2/adenovirus E1B 19kDa interacting protein 3-like (BNIP3L protein) (cDNA FLJ75547, highly similar to Homo sapiens BCL2/adenovirus E1B 19kDa interacting protein 3-like (BNIP3L), mRNA)","BNIP3L hCG_17158","","BNIP3L","integral component of membrane [GO:0016021]; mitochondrial envelope [GO:0005740]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; identical protein binding [GO:0042802]; positive regulation of apoptotic process [GO:0043065]; regulation of autophagy of mitochondrion [GO:1903146]; regulation of protein targeting to mitochondrion [GO:1903214]","","SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.","",0.00662691444437282
"3127","DND1",1.58114167968006,5.12513433611692,27.030171141256,2.14556574906235e-06,"Q8IYX4","Q8IYX4","reviewed","DND1_HUMAN","Dead end protein homolog 1 (RNA-binding motif, single-stranded-interacting protein 4)","DND1 RBMS4","FUNCTION: RNA-binding factor that positively regulates gene expression by prohibiting miRNA-mediated gene suppression. Relieves miRNA repression in germline cells (By similarity). Prohibits the function of several miRNAs by blocking the accessibility of target mRNAs. Sequence-specific RNA-binding factor that binds specifically to U-rich regions (URRs) in the 3' untranslated region (3'-UTR) of several mRNAs. Does not bind to miRNAs. May play a role during primordial germ cell (PGC) survival (By similarity). However, does not seem to be essential for PGC migration (By similarity). {ECO:0000250, ECO:0000269|PubMed:18155131}.","DND1","cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; 3'-UTR-mediated mRNA destabilization [GO:0061158]; germ cell development [GO:0007281]; mRNA stabilization [GO:0048255]; negative regulation of miRNA-mediated gene silencing [GO:0060965]; spermatogenesis [GO:0007283]","Q6ZRY4","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18155131}. Cytoplasm {ECO:0000269|PubMed:18155131}. Note=Perinuclear germ granules, also called germ plasm or chromatoid body. Colocalizes in perinuclear sites with APOBEC3 (By similarity). {ECO:0000250}.","ENST00000542735.2;",0.00506547536952206
"3821","ENSG00000197258",4.95239800043554,3.0378087671343,30.3830892991721,4.22780127916373e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00275596272717753
"6792","ENSG00000261604",0.733293455115981,7.5842917583448,20.9750771498199,1.31613511467347e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00946421470924808
"9753","FBXO9",0.665181959481653,6.64911662622022,20.4338296850693,1.55067401580456e-05,"Q9UK97","Q9UK97","reviewed","FBX9_HUMAN","F-box only protein 9 (Cross-immune reaction antigen 1) (Renal carcinoma antigen NY-REN-57)","FBXO9 FBX9 VCIA1","FUNCTION: Substrate recognition component of a SCF (SKP1-CUL1-F-box protein) E3 ubiquitin-protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of TTI1 and TELO2 in a CK2-dependent manner, thereby directly regulating mTOR signaling. SCF(FBXO9) recognizes and binds mTORC1-bound TTI1 and TELO2 when they are phosphorylated by CK2 following growth factor deprivation, leading to their degradation. In contrast, the SCF(FBXO9) does not mediate ubiquitination of TTI1 and TELO2 when they are part of the mTORC2 complex. As a consequence, mTORC1 is inactivated to restrain cell growth and protein translation, while mTORC2 is activated due to the relief of feedback inhibition by mTORC1. {ECO:0000269|PubMed:23263282}.","FBXO9","cytoplasm [GO:0005737]; cytosol [GO:0005829]; SCF ubiquitin ligase complex [GO:0019005]; ubiquitin ligase complex [GO:0000151]; ubiquitin-protein transferase activity [GO:0004842]; fat cell differentiation [GO:0045444]; innate immune response [GO:0045087]; protein ubiquitination [GO:0016567]; regulation of TOR signaling [GO:0032006]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]","P63208; Q9Y4R8; O43156; P63208","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23263282}.","ENST00000244426.10 [Q9UK97-1];ENST00000323557.12 [Q9UK97-2];ENST00000370939.7 [Q9UK97-3];",0.00978225195260453
"10960","ID2",0.74635791358304,6.44042179564435,20.6602218266907,1.40346812522088e-05,"Q02363","Q02363","reviewed","ID2_HUMAN","DNA-binding protein inhibitor ID-2 (Class B basic helix-loop-helix protein 26) (bHLHb26) (Inhibitor of DNA binding 2) (Inhibitor of differentiation 2)","ID2 BHLHB26","FUNCTION: Transcriptional regulator (lacking a basic DNA binding domain) which negatively regulates the basic helix-loop-helix (bHLH) transcription factors by forming heterodimers and inhibiting their DNA binding and transcriptional activity. Implicated in regulating a variety of cellular processes, including cellular growth, senescence, differentiation, apoptosis, angiogenesis, and neoplastic transformation. Inhibits skeletal muscle and cardiac myocyte differentiation. Regulates the circadian clock by repressing the transcriptional activator activity of the CLOCK-ARNTL/BMAL1 heterodimer. Restricts the CLOCK and ARNTL/BMAL1 localization to the cytoplasm. Plays a role in both the input and output pathways of the circadian clock: in the input component, is involved in modulating the magnitude of photic entrainment and in the output component, contributes to the regulation of a variety of liver clock-controlled genes involved in lipid metabolism. {ECO:0000269|PubMed:20861012}.","ID2","cytoplasm [GO:0005737]; cytosol [GO:0005829]; euchromatin [GO:0000791]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein dimerization activity [GO:0046983]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription regulator inhibitor activity [GO:0140416]; transmembrane transporter binding [GO:0044325]; bundle of His development [GO:0003166]; cell differentiation [GO:0030154]; cellular senescence [GO:0090398]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; embryonic digestive tract morphogenesis [GO:0048557]; endodermal digestive tract morphogenesis [GO:0061031]; entrainment of circadian clock by photoperiod [GO:0043153]; enucleate erythrocyte differentiation [GO:0043353]; epithelial cell differentiation involved in mammary gland alveolus development [GO:0061030]; heart development [GO:0007507]; locomotor rhythm [GO:0045475]; mammary gland alveolus development [GO:0060749]; mammary gland epithelial cell proliferation [GO:0033598]; negative regulation of B cell differentiation [GO:0045578]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of muscle cell differentiation [GO:0051148]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron fate commitment [GO:0048663]; olfactory bulb development [GO:0021772]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of blood pressure [GO:0045777]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of gene expression [GO:0010628]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0071931]; regulation of circadian rhythm [GO:0042752]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of lipid metabolic process [GO:0019216]; regulation of neural precursor cell proliferation [GO:2000177]; regulation of neuron differentiation [GO:0045664]","Q6XD76; Q6P5X5; O95273; Q9H0I2; Q9NW38; P11362-2; Q9BVV2; O43559; Q5SUL5; O43464; P42858; Q92993; Q8TAP4-4; A6NI15; Q96HC4; Q9NRD5; Q13563; D3DTS7; P62937-2; P23284; P17252; Q15047-2; Q13148; Q99081; P15923-1; P15884; Q9BT92; P61981","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P41136}. Nucleus {ECO:0000250|UniProtKB:P41136}.","ENST00000234091.8;ENST00000331129.3;ENST00000396290.2;",0.00946421470924808
"13153","NEXN",0.921767105567264,6.20391310864482,24.5693154535869,2.59024103575479e-06,"Q0ZGT2","Q0ZGT2","reviewed","NEXN_HUMAN","Nexilin (F-actin-binding protein) (Nelin)","NEXN","FUNCTION: Involved in regulating cell migration through association with the actin cytoskeleton. Has an essential role in the maintenance of Z line and sarcomere integrity. {ECO:0000269|PubMed:12053183, ECO:0000269|PubMed:15823560, ECO:0000269|PubMed:19881492}.","NEXN","actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; axon [GO:0030424]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; cell-cell adhesion mediator activity [GO:0098632]; structural constituent of muscle [GO:0008307]; axon guidance [GO:0007411]; dendrite self-avoidance [GO:0070593]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; regulation of cell migration [GO:0030334]; regulation of cytoskeleton organization [GO:0051493]","P51116; P15622-3; P10073","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9Z2J4}. Cell junction, adherens junction {ECO:0000250|UniProtKB:Q9Z2J4}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250|UniProtKB:Q9Z2J4}. Note=Localizes to the cell-matrix AJ. Not found at the cell-cell AJ. {ECO:0000250|UniProtKB:Q9Z2J4}.","ENST00000330010.12 [Q0ZGT2-4];ENST00000334785.12 [Q0ZGT2-1];",0.00506547536952206
"13383","NR2F2",1.25041806397153,7.11649608541738,62.389411711684,2.19592117843829e-12,"P24468","P24468","reviewed","COT2_HUMAN","COUP transcription factor 2 (COUP-TF2) (Apolipoprotein A-I regulatory protein 1) (ARP-1) (COUP transcription factor II) (COUP-TF II) (Nuclear receptor subfamily 2 group F member 2)","NR2F2 ARP1 TFCOUP2","FUNCTION: Ligand-activated transcription factor. Activated by high concentrations of 9-cis-retinoic acid and all-trans-retinoic acid, but not by dexamethasone, cortisol or progesterone (in vitro). Regulation of the apolipoprotein A-I gene transcription. Binds to DNA site A. May be required to establish ovary identity during early gonad development (PubMed:29478779). {ECO:0000269|PubMed:18798693, ECO:0000269|PubMed:1899293, ECO:0000269|PubMed:29478779, ECO:0000269|PubMed:9343308}.","NR2F2","cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; nuclear receptor activity [GO:0004879]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; anatomical structure development [GO:0048856]; anterior/posterior pattern specification [GO:0009952]; blood vessel morphogenesis [GO:0048514]; cell differentiation [GO:0030154]; female gonad development [GO:0008585]; fertilization [GO:0009566]; forebrain development [GO:0030900]; interneuron migration [GO:1904936]; lymphatic endothelial cell fate commitment [GO:0060838]; maternal placenta development [GO:0001893]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of endothelial cell migration [GO:0010596]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of transcription by RNA polymerase II [GO:0000122]; placenta blood vessel development [GO:0060674]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of systemic arterial blood pressure [GO:0003084]; positive regulation of transcription by RNA polymerase II [GO:0045944]; radial pattern formation [GO:0009956]; regulation of transcription by RNA polymerase II [GO:0006357]; response to estradiol [GO:0032355]; skeletal muscle tissue development [GO:0007519]; trophoblast giant cell differentiation [GO:0060707]","Q13485","SUBCELLULAR LOCATION: Nucleus.","ENST00000394166.8 [P24468-1];ENST00000394171.6 [P24468-3];ENST00000421109.6 [P24468-2];ENST00000453270.2 [P24468-3];",4.29434345655392e-08
"13469","NUCB2",0.76567236900397,7.60345472553542,23.3656352309222,6.37010703273975e-06,"E9PJP3","E9PJP3","unreviewed","E9PJP3_HUMAN","Nucleobindin-2","NUCB2","","NUCB2","cellular anatomical entity [GO:0110165]; calcium ion binding [GO:0005509]; negative regulation of appetite [GO:0032099]","","","ENST00000526120.5;ENST00000533738.6;",0.00692076739623658
