"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"922","ATP5F1E",-0.651347741246999,10.1159001077603,20.9225317838759,1.48858780012476e-05,"P56381","P56381","reviewed","ATP5E_HUMAN","ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon) (ATP synthase F1 subunit epsilon)","ATP5F1E ATP5E","FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(1) domain and of the central stalk which is part of the complex rotary element. Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits (By similarity). {ECO:0000250}.","ATP5F1E","mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; hydrolase activity [GO:0016787]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]","Q6RW13-2; P30049","SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion inner membrane.","ENST00000243997.8;ENST00000395659.1;ENST00000395663.1;",0.00970360767307991
"3282","DYNLT2B",-1.40662883697714,4.24177761414817,23.4693542453679,4.14213129573039e-06,"Q8WW35","Q8WW35","reviewed","DYT2B_HUMAN","Dynein light chain Tctex-type protein 2B (Tctex1 domain-containing protein 2)","DYNLT2B TCTEX1D2","FUNCTION: Acts as one of several non-catalytic accessory components of the cytoplasmic dynein 2 complex (dynein-2 complex), a motor protein complex that drives the movement of cargos along microtubules within cilia and flagella in concert with the intraflagellar transport (IFT) system. Required for proper retrograde ciliary transport. {ECO:0000269|PubMed:26044572, ECO:0000269|PubMed:29742051}.","DYNLT2B","cilium [GO:0005929]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; dynein axonemal particle [GO:0120293]; dynein intermediate chain binding [GO:0045505]; cilium assembly [GO:0060271]; intraciliary retrograde transport [GO:0035721]; microtubule-based movement [GO:0007018]; regulation of cilium assembly [GO:1902017]; regulation of intraciliary retrograde transport [GO:1905799]","P35609; P55273; P63172; P13984","SUBCELLULAR LOCATION: Dynein axonemal particle {ECO:0000305}.","ENST00000325318.10;",0.00623103997071565
"5622","ENSG00000245532",-0.667300409089262,8.87795346469927,24.7921673654784,2.35653086728262e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00506547536952206
"6708","ENSG00000261040",-2.89348572452557,4.05228340700333,33.7046604072536,6.17764399397835e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000604050029731203
"6905","ENSG00000263585",-0.712177382630941,7.64864053934086,22.5470956176026,6.16194950574017e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00692076739623658
"10910","HSPB1",-0.636546612638882,7.77452424219242,20.9619258390459,1.2291891007931e-05,"A0A6Q8PFE7","A0A6Q8PFE7","unreviewed","A0A6Q8PFE7_HUMAN","Heat shock protein beta-1","HSPB1","","HSPB1","nucleus [GO:0005634]","","SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.","ENST00000674965.1;",0.0094539815367353
"11439","KDM4A",-0.810097892126057,6.48805539070742,22.9930906675603,5.08302907882963e-06,"O75164","O75164","reviewed","KDM4A_HUMAN","Lysine-specific demethylase 4A (EC 1.14.11.66) (EC 1.14.11.69) (JmjC domain-containing histone demethylation protein 3A) (Jumonji domain-containing protein 2A) ([histone H3]-trimethyl-L-lysine(36) demethylase 4A) ([histone H3]-trimethyl-L-lysine(9) demethylase 4A)","KDM4A JHDM3A JMJD2 JMJD2A KIAA0677","FUNCTION: Histone demethylase that specifically demethylates 'Lys-9' and 'Lys-36' residues of histone H3, thereby playing a central role in histone code (PubMed:26741168). Does not demethylate histone H3 'Lys-4', H3 'Lys-27' nor H4 'Lys-20'. Demethylates trimethylated H3 'Lys-9' and H3 'Lys-36' residue, while it has no activity on mono- and dimethylated residues. Demethylation of Lys residue generates formaldehyde and succinate. Participates in transcriptional repression of ASCL2 and E2F-responsive promoters via the recruitment of histone deacetylases and NCOR1, respectively. {ECO:0000269|PubMed:16024779, ECO:0000269|PubMed:16603238, ECO:0000269|PubMed:26741168}.; FUNCTION: [Isoform 2]: Crucial for muscle differentiation, promotes transcriptional activation of the Myog gene by directing the removal of repressive chromatin marks at its promoter. Lacks the N-terminal demethylase domain. {ECO:0000269|PubMed:21694756}.","KDM4A","cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pericentric heterochromatin [GO:0005721]; histone demethylase activity [GO:0032452]; histone H3-methyl-lysine-36 demethylase activity [GO:0051864]; histone H3-methyl-lysine-9 demethylase activity [GO:0032454]; histone H3-tri/dimethyl-lysine-36 demethylase activity [GO:0140681]; histone H3-tri/dimethyl-lysine-9 demethylase activity [GO:0140684]; methylated histone binding [GO:0035064]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]; cardiac muscle hypertrophy in response to stress [GO:0014898]; chromatin remodeling [GO:0006338]; histone demethylation [GO:0016577]; histone H3-K36 demethylation [GO:0070544]; histone H3-K9 demethylation [GO:0033169]; negative regulation of astrocyte differentiation [GO:0048712]; negative regulation of autophagy [GO:0010507]; negative regulation of cell death [GO:0060548]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of histone H3-K9 trimethylation [GO:1900113]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron differentiation [GO:0045666]; response to nutrient levels [GO:0031667]","P11308; Q16695; P68431; P62805","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00537, ECO:0000269|PubMed:15927959, ECO:0000269|PubMed:16024779}.","ENST00000372396.4 [O75164-1];",0.00662691444437282
"11759","LGALS1",-1.13847069610056,8.37485600778322,29.2077164421905,2.98956589635501e-06,"P09382","P09382","reviewed","LEG1_HUMAN","Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)","LGALS1","FUNCTION: Lectin that binds beta-galactoside and a wide array of complex carbohydrates. Plays a role in regulating apoptosis, cell proliferation and cell differentiation. Inhibits CD45 protein phosphatase activity and therefore the dephosphorylation of Lyn kinase. Strong inducer of T-cell apoptosis. {ECO:0000269|PubMed:14617626, ECO:0000269|PubMed:18796645, ECO:0000269|PubMed:19497882, ECO:0000269|PubMed:24945728}.","LGALS1","collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; galectin complex [GO:1990724]; carbohydrate binding [GO:0030246]; laminin binding [GO:0043236]; RNA binding [GO:0003723]; apoptotic process [GO:0006915]; cell-cell adhesion [GO:0098609]; myoblast differentiation [GO:0045445]; plasma cell differentiation [GO:0002317]; positive regulation of apoptotic process [GO:0043065]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of inflammatory response [GO:0050729]; positive regulation of viral entry into host cell [GO:0046598]; regulation of apoptotic process [GO:0042981]; T cell costimulation [GO:0031295]","Q13740; P02649; P27797; P30203; P36957; P35968; Q8TDX7; P16284; P08575","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:14617626}. Cytoplasm {ECO:0000269|PubMed:32272059}. Secreted {ECO:0000269|PubMed:32272059}. Note=Can be secreted; the secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in protein translocation from the cytoplasm into the ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion. {ECO:0000269|PubMed:32272059}.","ENST00000215909.10;",0.0053149046062835
"12595","MRC2",-0.986133581265569,5.93239804658766,28.2025947741069,5.66858486073618e-07,"Q9UBG0","Q9UBG0","reviewed","MRC2_HUMAN","C-type mannose receptor 2 (C-type lectin domain family 13 member E) (Endocytic receptor 180) (Macrophage mannose receptor 2) (Urokinase-type plasminogen activator receptor-associated protein) (UPAR-associated protein) (Urokinase receptor-associated protein) (CD antigen CD280)","MRC2 CLEC13E ENDO180 KIAA0709 UPARAP","FUNCTION: May play a role as endocytotic lectin receptor displaying calcium-dependent lectin activity. Internalizes glycosylated ligands from the extracellular space for release in an endosomal compartment via clathrin-mediated endocytosis. May be involved in plasminogen activation system controlling the extracellular level of PLAUR/PLAU, and thus may regulate protease activity at the cell surface. May contribute to cellular uptake, remodeling and degradation of extracellular collagen matrices. May play a role during cancer progression as well as in other chronic tissue destructive diseases acting on collagen turnover. May participate in remodeling of extracellular matrix cooperating with the matrix metalloproteinases (MMPs). {ECO:0000269|PubMed:10683150, ECO:0000269|PubMed:12972549}.","MRC2","focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; carbohydrate binding [GO:0030246]; collagen binding [GO:0005518]; signaling receptor activity [GO:0038023]; collagen catabolic process [GO:0030574]; endocytosis [GO:0006897]; osteoblast differentiation [GO:0001649]","P02454","SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.","ENST00000303375.10;",0.00277137113841392
"12738","MT2A",-0.753288893815662,9.95179203602471,23.2865602341314,8.86015010310419e-06,"P02795","P02795","reviewed","MT2_HUMAN","Metallothionein-2 (MT-2) (Metallothionein-2A) (Metallothionein-II) (MT-II)","MT2A CES1 MT2","FUNCTION: Metallothioneins have a high content of cysteine residues that bind various heavy metals; these proteins are transcriptionally regulated by both heavy metals and glucocorticoids.","MT2A","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; zinc ion binding [GO:0008270]; cellular copper ion homeostasis [GO:0006878]; cellular response to cadmium ion [GO:0071276]; cellular response to copper ion [GO:0071280]; cellular response to erythropoietin [GO:0036018]; cellular response to interleukin-3 [GO:0036016]; cellular response to zinc ion [GO:0071294]; cellular zinc ion homeostasis [GO:0006882]; detoxification of copper ion [GO:0010273]; negative regulation of growth [GO:0045926]","P02649; Q96A83-2; O14645; Q8TE69; P21333-2; P42858; Q9UMF0; O14901; P31153; Q9BVL2; D3DTS7; Q15139; P37840; P14678-2; P58062","","ENST00000245185.6;",0.00885107371882993
