"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"440","AMIGO2",0.552220192210299,8.92071170656727,36.712965879704,1.91246095570375e-08,"Q86SJ2","Q86SJ2","reviewed","AMGO2_HUMAN","Amphoterin-induced protein 2 (AMIGO-2) (Alivin-1) (Differentially expressed in gastric adenocarcinomas) (DEGA)","AMIGO2 ALI1","FUNCTION: Required for depolarization-dependent survival of cultured cerebellar granule neurons. May mediate homophilic as well as heterophilic cell-cell interaction with AMIGO1 or AMIGO3. May contribute to signal transduction through its intracellular domain. May be required for tumorigenesis of a subset of gastric adenocarcinomas.","AMIGO2","integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; brain development [GO:0007420]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of apoptotic process [GO:0043066]; negative regulation of programmed cell death [GO:0043069]; positive regulation of synapse assembly [GO:0051965]","O00555; Q6PL24","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Nucleus {ECO:0000250}. Note=Associated with nucleus as well as plasma membrane. Restricted to somata of cerebellar as well as hippocampal neurons (By similarity). {ECO:0000250}.","ENST00000266581.4;ENST00000429635.1;ENST00000550413.2;",1.87000432248713e-05
"835","ASNS",0.914808537644021,7.10443843434948,43.4288074698126,2.64871695173159e-09,"P08243","P08243","reviewed","ASNS_HUMAN","Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)","ASNS TS11","","ASNS","cytosol [GO:0005829]; asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]; asparagine biosynthetic process [GO:0006529]; cellular response to glucose starvation [GO:0042149]; glutamine metabolic process [GO:0006541]; L-asparagine biosynthetic process [GO:0070981]; negative regulation of apoptotic process [GO:0043066]; positive regulation of mitotic cell cycle [GO:0045931]","Q86WT6; Q86WT6-2; A2RRH5","","ENST00000175506.8 [P08243-1];ENST00000394308.8 [P08243-1];ENST00000394309.7 [P08243-1];ENST00000422745.5 [P08243-2];ENST00000437628.5 [P08243-3];ENST00000444334.5 [P08243-2];ENST00000455086.5 [P08243-3];",3.04695933576841e-06
"2620","CSTA",1.78139737510288,3.04926750591175,27.2875046536065,8.27501402450654e-07,"P01040","P01040","reviewed","CYTA_HUMAN","Cystatin-A (Cystatin-AS) (Stefin-A) [Cleaved into: Cystatin-A, N-terminally processed]","CSTA STF1 STFA","FUNCTION: This is an intracellular thiol proteinase inhibitor. Has an important role in desmosome-mediated cell-cell adhesion in the lower levels of the epidermis. {ECO:0000269|PubMed:21944047}.","CSTA","cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; peptidase inhibitor complex [GO:1904090]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; protease binding [GO:0002020]; cell-cell adhesion [GO:0098609]; keratinocyte differentiation [GO:0030216]; negative regulation of peptidase activity [GO:0010466]; negative regulation of proteolysis [GO:0045861]; peptide cross-linking [GO:0018149]","G5E9A7; P28799; P04792; Q9Y3C5; Q7Z699; O76024; P00784","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21944047}.","ENST00000264474.4;",0.00057795062236875
"3442","EIF4A2",0.511541175686412,8.0910279161715,26.9210267912835,9.63646940512135e-07,"Q14240","Q14240","reviewed","IF4A2_HUMAN","Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)","EIF4A2 DDX2B EIF4F","FUNCTION: ATP-dependent RNA helicase which is a subunit of the eIF4F complex involved in cap recognition and is required for mRNA binding to ribosome. In the current model of translation initiation, eIF4A unwinds RNA secondary structures in the 5'-UTR of mRNAs which is necessary to allow efficient binding of the small ribosomal subunit, and subsequent scanning for the initiator codon.","EIF4A2","cytosol [GO:0005829]; eukaryotic translation initiation factor 4F complex [GO:0016281]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; helicase activity [GO:0004386]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; translation initiation factor activity [GO:0003743]; cellular response to leukemia inhibitory factor [GO:1990830]; cytoplasmic translational initiation [GO:0002183]; negative regulation of RNA-directed 5'-3' RNA polymerase activity [GO:1900260]; regulation of translational initiation [GO:0006446]; translational initiation [GO:0006413]","Q7L190; P04792; Q9UI26; Q53EL6; Q7RTY1; Q9Y2D8; Q9NQ86; Q9HCM9; PRO_0000037577 [P27958]; P54253; Q96D03; Q7L190; P42858; Q99750; Q53EL6; Q8WWB5; Q9Y2D8; Q9NQ86; Q9HCM9; Q6ZNG0","","ENST00000323963.10 [Q14240-1];ENST00000440191.6 [Q14240-2];",0.000649830329953631
"5258","ENSG00000236698",3.3268009413157,4.58921912816568,30.8772424367541,3.3773674789337e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000300217265536488
"5944","ENSG00000251562",0.835701755636762,11.9792808491584,36.3262173971536,3.58182484882483e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000304548551059211
"9424","ESF1",0.585028197306967,7.05956882479462,28.0494412503071,6.03788572694731e-07,"Q9H501","Q9H501","reviewed","ESF1_HUMAN","ESF1 homolog (ABT1-associated protein)","ESF1 ABTAP C20orf6 HDCMC28P","FUNCTION: May constitute a novel regulatory system for basal transcription. Negatively regulates ABT1 (By similarity). {ECO:0000250}.","ESF1","extracellular space [GO:0005615]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; rRNA processing [GO:0006364]","","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}. Nucleus, nucleoplasm {ECO:0000250}.","ENST00000202816.5;ENST00000617257.2;",0.000454141897216083
"12632","MRPL32",0.791203848299265,5.63395463270974,21.0333301096523,1.19128124358145e-05,"Q9BYC8","Q9BYC8","reviewed","RM32_HUMAN","39S ribosomal protein L32, mitochondrial (L32mt) (MRP-L32) (Mitochondrial large ribosomal subunit protein bL32m)","MRPL32 HSPC283","","MRPL32","mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]; translation [GO:0006412]","Q9GZV8","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.","ENST00000223324.3;",0.00597351179473819
"12766","MTHFD2",0.55944587565868,8.95841283609643,26.2150025820733,1.91900780950396e-06,"A0A7I2V2G4","A0A7I2V2G4","unreviewed","A0A7I2V2G4_HUMAN","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial","MTHFD2","","MTHFD2","","","","ENST00000677377.1;",0.00121058441040837
"12990","NBPF15",0.809325482652259,5.8815009840991,26.3995733314726,2.76280404993851e-06,"Q8N660","Q8N660","reviewed","NBPFF_HUMAN","Neuroblastoma breakpoint family member 15 (Neuroblastoma breakpoint family member 16)","NBPF15 NBPF16","","NBPF15","cytoplasm [GO:0005737]","","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.","ENST00000488031.6;ENST00000577412.6;ENST00000581897.7;",0.00168841862501867
