"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"346","AK4",0.590229256124431,7.0996857690772,37.1589188837574,1.61092375273546e-08,"P27144","P27144","reviewed","KAD4_HUMAN","Adenylate kinase 4, mitochondrial (AK 4) (EC 2.7.4.10) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)","AK4 AK3 AK3L1","FUNCTION: Involved in maintaining the homeostasis of cellular nucleotides by catalyzing the interconversion of nucleoside phosphates (PubMed:19073142, PubMed:19766732, PubMed:23416111, PubMed:24767988). Efficiently phosphorylates AMP and dAMP using ATP as phosphate donor, but phosphorylates only AMP when using GTP as phosphate donor (PubMed:19073142, PubMed:19766732, PubMed:23416111). Also displays broad nucleoside diphosphate kinase activity (PubMed:19073142, PubMed:19766732, PubMed:23416111). Plays a role in controlling cellular ATP levels by regulating phosphorylation and activation of the energy sensor protein kinase AMPK (PubMed:24767988, PubMed:26980435). Plays a protective role in the cellular response to oxidative stress (PubMed:19130895, PubMed:23474458, PubMed:26980435). {ECO:0000255|HAMAP-Rule:MF_03170, ECO:0000269|PubMed:19073142, ECO:0000269|PubMed:19130895, ECO:0000269|PubMed:19766732, ECO:0000269|PubMed:23416111, ECO:0000269|PubMed:23474458, ECO:0000269|PubMed:24767988, ECO:0000269|PubMed:26980435}.","AK4","cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; nucleoside diphosphate kinase activity [GO:0004550]; nucleoside monophosphate kinase activity [GO:0050145]; nucleoside triphosphate adenylate kinase activity [GO:0046899]; ADP biosynthetic process [GO:0006172]; AMP metabolic process [GO:0046033]; ATP metabolic process [GO:0046034]; cellular response to hypoxia [GO:0071456]; GTP metabolic process [GO:0046039]; nucleobase-containing small molecule interconversion [GO:0015949]; nucleoside diphosphate phosphorylation [GO:0006165]; nucleoside triphosphate biosynthetic process [GO:0009142]; regulation of ATP biosynthetic process [GO:2001169]; regulation of oxidative phosphorylation [GO:0002082]","","SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03170, ECO:0000269|PubMed:11485571, ECO:0000269|PubMed:19766732, ECO:0000269|PubMed:26980435}.","ENST00000327299.8;ENST00000395334.6;ENST00000545314.5;",9.71931066857605e-06
"440","AMIGO2",0.55640109785412,8.92071170656727,34.6803773320738,4.21103804513448e-08,"Q86SJ2","Q86SJ2","reviewed","AMGO2_HUMAN","Amphoterin-induced protein 2 (AMIGO-2) (Alivin-1) (Differentially expressed in gastric adenocarcinomas) (DEGA)","AMIGO2 ALI1","FUNCTION: Required for depolarization-dependent survival of cultured cerebellar granule neurons. May mediate homophilic as well as heterophilic cell-cell interaction with AMIGO1 or AMIGO3. May contribute to signal transduction through its intracellular domain. May be required for tumorigenesis of a subset of gastric adenocarcinomas.","AMIGO2","integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; brain development [GO:0007420]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of apoptotic process [GO:0043066]; negative regulation of programmed cell death [GO:0043069]; positive regulation of synapse assembly [GO:0051965]","O00555; Q6PL24","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Nucleus {ECO:0000250}. Note=Associated with nucleus as well as plasma membrane. Restricted to somata of cerebellar as well as hippocampal neurons (By similarity). {ECO:0000250}.","ENST00000266581.4;ENST00000429635.1;ENST00000550413.2;",2.35288742887571e-05
"835","ASNS",0.791197889272538,7.10443843434948,39.9060973987512,9.17322848483385e-09,"P08243","P08243","reviewed","ASNS_HUMAN","Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)","ASNS TS11","","ASNS","cytosol [GO:0005829]; asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]; asparagine biosynthetic process [GO:0006529]; cellular response to glucose starvation [GO:0042149]; glutamine metabolic process [GO:0006541]; L-asparagine biosynthetic process [GO:0070981]; negative regulation of apoptotic process [GO:0043066]; positive regulation of mitotic cell cycle [GO:0045931]","Q86WT6; Q86WT6-2; A2RRH5","","ENST00000175506.8 [P08243-1];ENST00000394308.8 [P08243-1];ENST00000394309.7 [P08243-1];ENST00000422745.5 [P08243-2];ENST00000437628.5 [P08243-3];ENST00000444334.5 [P08243-2];ENST00000455086.5 [P08243-3];",5.97972187498036e-06
"1093","BCAT1",0.36860862818964,7.99198353687229,19.71772579107,2.12892325587876e-05,"P54687","P54687","reviewed","BCAT1_HUMAN","Branched-chain-amino-acid aminotransferase, cytosolic (BCAT(c)) (EC 2.6.1.42) (Protein ECA39)","BCAT1 BCT1 ECA39","FUNCTION: Catalyzes the first reaction in the catabolism of the essential branched chain amino acids leucine, isoleucine, and valine.","BCAT1","cytosol [GO:0005829]; mitochondrion [GO:0005739]; branched-chain-amino-acid transaminase activity [GO:0004084]; L-isoleucine transaminase activity [GO:0052656]; L-leucine transaminase activity [GO:0052654]; L-leucine:2-oxoglutarate aminotransferase activity [GO:0050048]; L-valine transaminase activity [GO:0052655]; branched-chain amino acid biosynthetic process [GO:0009082]; G1/S transition of mitotic cell cycle [GO:0000082]; leucine biosynthetic process [GO:0009098]; lipid metabolic process [GO:0006629]; valine biosynthetic process [GO:0009099]","P55212; O75190-2; O14645; P22607; P06396; O14901; P13473-2; O75400-2","SUBCELLULAR LOCATION: Cytoplasm.","ENST00000261192.12 [P54687-1];ENST00000342945.9 [P54687-2];ENST00000538118.5 [P54687-4];ENST00000539282.5 [P54687-5];ENST00000539780.5 [P54687-3];",0.00660844812570874
"1202","BNIP3",1.40085291215035,5.62210493437852,116.571538689765,5.14410141118551e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2574755899643e-15
"1763","CCND2",0.406179476999042,8.8328750431313,21.9473619932286,7.99220102508098e-06,"P30279","P30279","reviewed","CCND2_HUMAN","G1/S-specific cyclin-D2","CCND2","FUNCTION: Regulatory component of the cyclin D2-CDK4 (DC) complex that phosphorylates and inhibits members of the retinoblastoma (RB) protein family including RB1 and regulates the cell-cycle during G(1)/S transition (PubMed:8114739, PubMed:18827403). Phosphorylation of RB1 allows dissociation of the transcription factor E2F from the RB/E2F complex and the subsequent transcription of E2F target genes which are responsible for the progression through the G(1) phase (PubMed:8114739, PubMed:18827403). Hypophosphorylates RB1 in early G(1) phase (PubMed:8114739, PubMed:18827403). Cyclin D-CDK4 complexes are major integrators of various mitogenenic and antimitogenic signals (PubMed:8114739, PubMed:18827403). {ECO:0000269|PubMed:18827403, ECO:0000269|PubMed:8114739}.","CCND2","chromatin [GO:0000785]; cyclin D2-CDK4 complex [GO:0097129]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]; adult locomotory behavior [GO:0008344]; cell division [GO:0051301]; cellular response to X-ray [GO:0071481]; G1/S transition of mitotic cell cycle [GO:0000082]; long-term memory [GO:0007616]; mitotic cell cycle phase transition [GO:0044772]; negative regulation of apoptotic process [GO:0043066]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of protein phosphorylation [GO:0001934]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]","P11802; Q00535; P38936; P46527","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18827403}. Cytoplasm {ECO:0000269|PubMed:18827403}. Nucleus membrane {ECO:0000269|PubMed:18827403}. Note=Cyclin D-CDK4 complexes accumulate at the nuclear membrane and are then translocated into the nucleus through interaction with KIP/CIP family members. {ECO:0000269|PubMed:18827403}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:17873913}.","ENST00000261254.8 [P30279-1];ENST00000676279.1 [P30279-1];ENST00000676411.1 [P30279-1];",0.00312590966492967
"2095","CHAC1",1.87977592279115,4.00859532712553,42.3183317342485,2.7490708665696e-09,"Q9BUX1","Q9BUX1","reviewed","CHAC1_HUMAN","Glutathione-specific gamma-glutamylcyclotransferase 1 (Gamma-GCG 1) (EC 4.3.2.7) (Blocks Notch protein) (Botch) (Cation transport regulator-like protein 1)","CHAC1 BOTCH","FUNCTION: Catalyzes the cleavage of glutathione into 5-oxo-L-proline and a Cys-Gly dipeptide. Acts specifically on glutathione, but not on other gamma-glutamyl peptides (PubMed:27913623). Glutathione depletion is an important factor for apoptosis initiation and execution. Acts as a pro-apoptotic component of the unfolded protein response pathway by mediating the pro-apoptotic effects of the ATF4-ATF3-DDIT3/CHOP cascade (PubMed:19109178). Negative regulator of Notch signaling pathway involved in embryonic neurogenesis: acts by inhibiting Notch cleavage by furin, maintaining Notch in an immature inactive form, thereby promoting neurogenesis in embryos (PubMed:22445366). {ECO:0000269|PubMed:19109178, ECO:0000269|PubMed:22445366, ECO:0000269|PubMed:27913623}.","CHAC1","cytoplasm [GO:0005737]; cytosol [GO:0005829]; trans-Golgi network [GO:0005802]; gamma-glutamylcyclotransferase activity [GO:0003839]; glutathione specific gamma-glutamylcyclotransferase activity [GO:0061928]; Notch binding [GO:0005112]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of protein processing [GO:0010955]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; response to unfolded protein [GO:0006986]","Q9BQY4","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:19109178}. Golgi apparatus, trans-Golgi network {ECO:0000250|UniProtKB:Q8R3J5}.","ENST00000444189.7 [Q9BUX1-2];ENST00000617768.5 [Q9BUX1-1];",1.85382171953914e-06
"2620","CSTA",1.62644655775077,3.04926750591175,19.6224684244151,2.22096077715816e-05,"P01040","P01040","reviewed","CYTA_HUMAN","Cystatin-A (Cystatin-AS) (Stefin-A) [Cleaved into: Cystatin-A, N-terminally processed]","CSTA STF1 STFA","FUNCTION: This is an intracellular thiol proteinase inhibitor. Has an important role in desmosome-mediated cell-cell adhesion in the lower levels of the epidermis. {ECO:0000269|PubMed:21944047}.","CSTA","cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; peptidase inhibitor complex [GO:1904090]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; protease binding [GO:0002020]; cell-cell adhesion [GO:0098609]; keratinocyte differentiation [GO:0030216]; negative regulation of peptidase activity [GO:0010466]; negative regulation of proteolysis [GO:0045861]; peptide cross-linking [GO:0018149]","G5E9A7; P28799; P04792; Q9Y3C5; Q7Z699; O76024; P00784","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21944047}.","ENST00000264474.4;",0.00668201676278539
"2862","DDIT4",1.76982099728769,5.52494562408709,107.730747806259,1.33119155221074e-15,"Q9NX09","Q9NX09","reviewed","DDIT4_HUMAN","DNA damage-inducible transcript 4 protein (HIF-1 responsive protein RTP801) (Protein regulated in development and DNA damage response 1) (REDD-1)","DDIT4 REDD1 RTP801","FUNCTION: Regulates cell growth, proliferation and survival via inhibition of the activity of the mammalian target of rapamycin complex 1 (mTORC1). Inhibition of mTORC1 is mediated by a pathway that involves DDIT4/REDD1, AKT1, the TSC1-TSC2 complex and the GTPase RHEB. Plays an important role in responses to cellular energy levels and cellular stress, including responses to hypoxia and DNA damage. Regulates p53/TP53-mediated apoptosis in response to DNA damage via its effect on mTORC1 activity. Its role in the response to hypoxia depends on the cell type; it mediates mTORC1 inhibition in fibroblasts and thymocytes, but not in hepatocytes (By similarity). Required for mTORC1-mediated defense against viral protein synthesis and virus replication (By similarity). Inhibits neuronal differentiation and neurite outgrowth mediated by NGF via its effect on mTORC1 activity. Required for normal neuron migration during embryonic brain development. Plays a role in neuronal cell death. {ECO:0000250, ECO:0000269|PubMed:15545625, ECO:0000269|PubMed:15632201, ECO:0000269|PubMed:15988001, ECO:0000269|PubMed:17005863, ECO:0000269|PubMed:17379067, ECO:0000269|PubMed:19557001, ECO:0000269|PubMed:20166753, ECO:0000269|PubMed:21460850}.","DDIT4","cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; 14-3-3 protein binding [GO:0071889]; apoptotic process [GO:0006915]; brain development [GO:0007420]; cellular response to dexamethasone stimulus [GO:0071549]; defense response to virus [GO:0051607]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; negative regulation of glycolytic process [GO:0045820]; negative regulation of intracellular signal transduction [GO:1902532]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; negative regulation of TOR signaling [GO:0032007]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; neurotrophin TRK receptor signaling pathway [GO:0048011]; positive regulation of neuron death [GO:1901216]; protein-containing complex disassembly [GO:0032984]; reactive oxygen species metabolic process [GO:0072593]; regulation of TOR signaling [GO:0032006]; response to hypoxia [GO:0001666]","Q3SYB3; Q14145; P57682; Q9Y483-4; P16284; Q6P1K2; P08195-4; P61086; P40337-2; P58304; Q96MN9-2","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Cytoplasm, cytosol {ECO:0000269|PubMed:12453409}.","ENST00000307365.4;ENST00000491934.3;",1.73551879966888e-12
"2866","DDR2",0.966556563757329,5.76588470549088,72.3654747045839,9.41132552363206e-14,"Q16832","Q16832","reviewed","DDR2_HUMAN","Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)","DDR2 NTRKR3 TKT TYRO10","FUNCTION: Tyrosine kinase involved in the regulation of tissues remodeling (PubMed:30449416). It functions as cell surface receptor for fibrillar collagen and regulates cell differentiation, remodeling of the extracellular matrix, cell migration and cell proliferation. Required for normal bone development. Regulates osteoblast differentiation and chondrocyte maturation via a signaling pathway that involves MAP kinases and leads to the activation of the transcription factor RUNX2. Regulates remodeling of the extracellular matrix by up-regulation of the collagenases MMP1, MMP2 and MMP13, and thereby facilitates cell migration and tumor cell invasion. Promotes fibroblast migration and proliferation, and thereby contributes to cutaneous wound healing. {ECO:0000269|PubMed:16186104, ECO:0000269|PubMed:16186108, ECO:0000269|PubMed:17665456, ECO:0000269|PubMed:18201965, ECO:0000269|PubMed:20004161, ECO:0000269|PubMed:20564243, ECO:0000269|PubMed:20734453, ECO:0000269|PubMed:30449416, ECO:0000269|PubMed:9659899}.","DDR2","actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; collagen binding [GO:0005518]; protein tyrosine kinase collagen receptor activity [GO:0038062]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; biomineral tissue development [GO:0031214]; cell adhesion [GO:0007155]; cellular response to angiotensin [GO:1904385]; cellular response to hypoxia [GO:0071456]; cellular response to transforming growth factor beta stimulus [GO:0071560]; chondrocyte proliferation [GO:0035988]; collagen fibril organization [GO:0030199]; collagen-activated tyrosine kinase receptor signaling pathway [GO:0038063]; endochondral bone growth [GO:0003416]; negative regulation of apoptotic process [GO:0043066]; negative regulation of hydrogen peroxide-mediated programmed cell death [GO:1901299]; negative regulation of kinase activity [GO:0033673]; negative regulation of necrotic cell death [GO:0060547]; ossification [GO:0001503]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of extracellular matrix disassembly [GO:0090091]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of hepatic stellate cell activation [GO:2000491]; positive regulation of hepatic stellate cell proliferation [GO:1904899]; positive regulation of kinase activity [GO:0033674]; positive regulation of neuron death [GO:1901216]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; positive regulation of wound healing [GO:0090303]; protein autophosphorylation [GO:0046777]; regulation of bone mineralization [GO:0030500]; regulation of extracellular matrix disassembly [GO:0010715]; regulation of tissue remodeling [GO:0034103]; response to muscle stretch [GO:0035994]; signal transduction [GO:0007165]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]","Q16543; P13942; Q08345; P08238; Q16288","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18201965, ECO:0000269|PubMed:20223752, ECO:0000269|PubMed:9659899}; Single-pass type I membrane protein {ECO:0000269|PubMed:18201965, ECO:0000269|PubMed:20223752, ECO:0000269|PubMed:9659899}.","ENST00000367921.8;ENST00000367922.7;ENST00000446985.6;",9.23718376875063e-11
