"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"1640","CCDC107",3.61488479991651,4.07160239892132,23.5499480167286,5.08045563876226e-06,"X6R9Y9","X6R9Y9","unreviewed","X6R9Y9_HUMAN","Coiled-coil domain-containing protein 107","CCDC107 MGC31967 hCG_1748316","","CCDC107","","","","ENST00000378406.5;",0.00620958690447717
"4011","ENSG00000210082",-0.797198587637161,15.7215507686722,31.621588847705,1.55802538377289e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0021763388860759
"4013","ENSG00000210107",2.51827863817662,3.46921701181707,44.0194890895424,1.6318371836643e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.54580088485988e-05
"5748","ENSG00000248527",-1.3758524399313,6.86735276549726,27.9191275362238,4.68837647122197e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00611239268474779
"5775","ENSG00000248923",-1.05355128634058,5.21232213421926,36.2514080100601,2.73125322937581e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000485567165033394
"9292","ENSG00000290032",-0.551956384720507,9.98144539094912,37.6041501625462,1.35807016443985e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31980251697322e-05
"10571","H2BC11",-0.627124771481676,5.73575571768453,26.652255427239,1.07785610667977e-06,"P06899","P06899","reviewed","H2B1J_HUMAN","Histone H2B type 1-J (Histone H2B.1) (Histone H2B.r) (H2B/r)","H2BC11 H2BFR HIST1H2BJ","FUNCTION: Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling.; FUNCTION: Has broad antibacterial activity. May contribute to the formation of the functional antimicrobial barrier of the colonic epithelium, and to the bactericidal activity of amniotic fluid.","H2BC11","CENP-A containing nucleosome [GO:0043505]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; lipopolysaccharide binding [GO:0001530]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]; antibacterial humoral response [GO:0019731]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response in mucosa [GO:0002227]; killing of cells of another organism [GO:0031640]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; nucleosome assembly [GO:0006334]; protein localization to CENP-A containing chromatin [GO:0061644]","P04908","SUBCELLULAR LOCATION: Nucleus. Chromosome.","ENST00000339812.3;ENST00000607124.1;",0.0016214272324792
"12723","MT-ATP6",-1.497340117927,12.9977862940727,234.275705126029,1.98084810565346e-25,"P00846","P00846","reviewed","ATP6_HUMAN","ATP synthase subunit a (F-ATPase protein 6)","MT-ATP6 ATP6 ATPASE6 MTATP6","FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Key component of the proton channel; it may play a direct role in the translocation of protons across the membrane.","MT-ATP6","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; proton transmembrane transporter activity [GO:0015078]; aging [GO:0007568]; proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; response to hyperoxia [GO:0055093]","","SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.","ENST00000361899.2;",1.93687327770796e-21
"12724","MT-ATP8",-1.3235772854366,11.2807569277384,38.8519860311147,2.16128858879144e-07,"P03928","P03928","reviewed","ATP8_HUMAN","ATP synthase protein 8 (A6L) (F-ATPase subunit 8)","MT-ATP8 ATP8 ATPASE8 MTATP8","FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain. Minor subunit located with subunit a in the membrane (By similarity). {ECO:0000250}.","MT-ATP8","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]","","SUBCELLULAR LOCATION: Mitochondrion membrane; Single-pass membrane protein.","ENST00000361851.1;",0.000422661596424053
"12726","MT-CO2",-1.37334316007188,11.6832921517068,218.462765713107,5.42583877533456e-28,"P00403","P00403","reviewed","COX2_HUMAN","Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)","MT-CO2 COII COX2 COXII MTCO2","FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of subunit 2 and heme A of subunit 1 to the active site in subunit 1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix. {ECO:0000250|UniProtKB:P00410}.","MT-CO2","integral component of membrane [GO:0016021]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]; copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]; ATP synthesis coupled electron transport [GO:0042773]; cellular respiration [GO:0045333]; lactation [GO:0007595]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of hydrogen peroxide biosynthetic process [GO:0010729]; positive regulation of necrotic cell death [GO:0010940]; response to cold [GO:0009409]","Q9NZ94-2; P49281-3","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Multi-pass membrane protein {ECO:0000269|PubMed:30030519}.","ENST00000361739.1;",1.06107703090443e-23
